page_name,user_name,facebook_id,page_category,page_admin_top_country,page_description,page_created,likes_at_posting,followers_at_posting,post_created,post_created_date,post_created_time,type,total_interactions,likes,comments,shares,love,wow,haha,sad,angry,care,video_share_status,is_video_owner,post_views,total_views,total_views_for_all_crossposts,video_length,url,message,link,final_link,image_text,link_text,description,sponsor_id,sponsor_name,sponsor_category,overperforming_score_weighted_likes_1x_shares_1x_comments_1x_love_1x_wow_1x_haha_1x_sad_1x_angry_1x_care_1x,group_name,date_r
NA,officialbenshapiro,100044139414360,NEWS_PERSONALITY,US,This is my official Facebook fan page. You can also follow me on twitter @benshapiro.,2011-05-18T03:31:56Z,6418565,7982890,2021-06-11T07:32:04Z,2021-06-11,07:32:04,Link,243271,173573,4834,35652,27681,320,102,132,54,923,NA,-,0,0,0,N/A,https://www.facebook.com/100044139414360/posts/376759997138644,Watch this. She absolutely nails it.,https://www.dailywire.com/news/black-mom-torches-critical-race-theory-its-racist-its-teaching-hate-will-destroy-america?utm_source=facebook&utm_medium=social&utm_campaign=benshapiro,NA,NA,"Black Mom Torches Critical Race Theory: It’s ‘Racist,’ It’s ‘Teaching Hate,’ Will Destroy America","A black mother in Florida unloaded on critical race theory during a speech to the Florida Board of Education, warning that the far-left ideology was",NA,NA,NA,56.03,Ben Shapiro,2021-06-11T00:00:00Z
Franklin Graham,FranklinGraham,100044568093541,PERSON,US,Official Page for Franklin Graham. President Samaritan's Purse & Billy Graham Evangelistic Assoc.,2010-11-23T15:25:06Z,9826210,9746707,2021-10-13T16:48:32Z,2021-10-13,16:48:32,Status,226575,125582,28037,55848,6305,462,142,5889,707,3603,NA,-,0,0,0,N/A,https://www.facebook.com/100044568093541/posts/411731000322500,"Connect the dots? You may have a lot of concerns with what is coming out of the White House today. There are so many destructive policies being put into place by leftist officials and staff working to get their radical agendas promoted. The tactics that socialists and communists have used throughout history when they were trying to take over a country include creating political chaos, economic failure, and social upheaval. It is concerning that we see all of those on the rise in our nation. The political chaos during and after the last election was unprecedented for our country. There were so many unanswered questions. We have unemployment rising, inflation rising, and proposed spending bills that would increase our national debt to a level that could be crippling. We were independent from foreign oil, now we are dependent again. The critical race theory that we have seen rise up in the last year masterfully creates chaos. It pits black against white, white against black, and fuels disunity and division. It is used to make people hate their country rather than building patriotism. All of this is a great tragedy. The censorship we see in the media, I thought would never be possible in this country. But once they banned the former president from social media, we realized the unprecedented control the socialist left can have over our nation—and over you. Of course, communist and socialist regimes are anti-capitalism. We now have leaders in universities and in our own Congress who are against capitalism and we hear their persistent cries to tax the wealthy more in an effort to make all people economically equal. This destroys incentive and the work ethic that has been a major part of what made America a great nation. The pandemic also played into the chaos. It has given those in the government power over our lives that they weren’t given by a legislative body or the Constitution. They can order mandates at their whim that may not be dictated by science, but by their own left-leaning agendas. Those controls can be used as stepping stones for greater destruction of our nation in the future if we’re not careful. The failure in Afghanistan and leaving the country to the Taliban not only created chaos, but also signaled to our enemies that the United States will not defend its allies. Immediately we saw China threaten Taiwan. We saw North Korea launch a hypersonic missile. Tehran has stepped up its threats against Israel. What we did in Afghanistan left our allies around the world scratching their heads as to whether the United States can be trusted. There are many dots that could be connected—these are just a few—all food for thought, but more importantly for prayer. I don’t believe for a second that President Biden is a socialist. Pray for President Joe Biden—that God would give him a clear mind to see what those around him are doing and that he would realize the slippery slope we are headed down; and may he see the damage this is doing not only to our nation, but at the end of the day, to his reputation. May God help us.",NA,NA,NA,NA,NA,NA,NA,NA,-1.2,NA,2021-10-14T00:00:00Z
Franklin Graham,FranklinGraham,100044568093541,PERSON,US,Official Page for Franklin Graham. President Samaritan's Purse & Billy Graham Evangelistic Assoc.,2010-11-23T15:25:06Z,9834293,9754210,2021-10-26T20:07:31Z,2021-10-26,20:07:31,Link,224950,152857,19244,19220,31861,130,53,26,49,1510,NA,-,0,0,0,N/A,https://www.facebook.com/100044568093541/posts/420331199462480,"Thank you Condoleezza Rice for your unifying statements related to the Critical Race Theory that is being pushed on our schools, businesses, and government agencies. Her words of truth needed to be heard on the The View and across the country. She argued that children didn’t need to be taught CRT, but rather we should learn from the truth—the good and the bad—of history, and that we should not make “7- and 10-year-olds feel that they are somehow bad people because of the color of their skin.” She also made it clear that parents “ought to be involved in their children’s education.” Let former Secretary Rice know you appreciate her stand in the comments below. And pray that the Lord will raise up more strong leaders like her who will help bring truth and unity to our nation.",https://www.foxnews.com/media/condoleeza-rice-critical-race-theory-white-kids,NA,NA,Condoleezza Rice denounces critical race theory: 'I don't have to make White kids feel bad for being White',"Former Secretary of State Condoleezza Rice on Wednesday denounced the teaching of critical race theory in schools, declaring Black children could be completely empowered without making White children feel bad just for being White.",NA,NA,NA,3.61,NA,2021-10-27T00:00:00Z
NA,officialbenshapiro,100044139414360,NEWS_PERSONALITY,US,This is my official Facebook fan page. You can also follow me on twitter @benshapiro.,2011-05-18T03:31:56Z,6478828,8047512,2021-06-23T13:52:24Z,2021-06-23,13:52:24,Native Video,222128,110016,10624,66778,31722,1237,315,376,306,754,crosspost,No,1663756,3060890,5146333,00:04:54,https://www.facebook.com/100044139414360/posts/391977318950245,15-Year-Old Student SLAMS School Board Over Critical Race Theory,https://www.facebook.com/officialbenshapiro/videos/508677807107791/,NA,NA,15-Year-Old Student SLAMS School Board Over Critical Race Theory,NA,NA,NA,NA,33.58,Ben Shapiro,2021-06-24T00:00:00Z
NA,dralvedaking,100044166563102,PERSON,US,"Best-selling Author, Speaker and Pro-Life Advocate",2009-07-31T21:56:34Z,154385,281764,2021-05-22T11:49:27Z,2021-05-22,11:49:27,Photo,219306,116534,9776,60882,30532,83,468,36,76,919,NA,-,0,0,0,N/A,https://www.facebook.com/100044166563102/posts/338284884320394,This is simple! We are all part of ONE HUMAN RACE. Liberals in this country must stop seeking to separate people by the color of their skin!,https://www.facebook.com/photo.php?fbid=338284720987077&set=a.288726255942924&type=3,NA,""" Critical Race Theory is racist. We are all part of ONE HUMAN RACE. DR. ALVEDA KING",NA,NA,NA,NA,NA,36.02,Alveda King,2021-05-22T00:00:00Z
NA,officialbenshapiro,100044139414360,NEWS_PERSONALITY,US,This is my official Facebook fan page. You can also follow me on twitter @benshapiro.,2011-05-18T03:31:56Z,6417435,7981895,2021-06-09T22:46:34Z,2021-06-09,22:46:34,Link,206654,161626,3332,17341,23827,81,32,4,18,393,NA,-,0,0,0,N/A,https://www.facebook.com/100044139414360/posts/375265140621463,Another win for education over indoctrination.,https://www.dailywire.com/news/iowa-bans-critical-race-theory-schools-should-promote-learning-not-discriminatory-indoctrination?utm_source=facebook&utm_medium=social&utm_campaign=benshapiro,NA,NA,"Iowa Bans Critical Race Theory: Schools Should ‘Promote Learning, Not Discriminatory Indoctrination’",Iowa Governor Kim Reynolds signed legislation Tuesday banning critical race theory from being taught in government agencies and schools.,NA,NA,NA,53.62,Ben Shapiro,2021-06-10T00:00:00Z
NA,officialbenshapiro,100044139414360,NEWS_PERSONALITY,US,This is my official Facebook fan page. You can also follow me on twitter @benshapiro.,2011-05-18T03:31:56Z,6530754,8099835,2021-07-10T21:02:04Z,2021-07-10,21:02:04,Link,193654,159055,2851,10310,20944,48,58,7,14,367,NA,-,0,0,0,N/A,https://www.facebook.com/100044139414360/posts/414180056729971,All Republican governors need to make this statement.,https://www.dailywire.com/news/arizona-governor-signs-bill-prohibiting-critical-race-theory-training-in-local-government?utm_source=facebook&utm_medium=social&utm_campaign=benshapiro,NA,NA,Arizona Governor Signs Bill Prohibiting Critical Race Theory Training In Local Government | The Daily Wire,"— News and Commentary —Arizona Governor Signs Bill Prohibiting Critical Race Theory Training In Local GovernmentBy Charlotte Pence Bond•Jul 9, 2021 DailyWire.com•FacebookTwitterMailRalph Freso/Getty Images Republican Governor of Arizona Doug Ducey took further action to combat the teaching ...",NA,NA,NA,35.75,Ben Shapiro,2021-07-11T00:00:00Z
NA,AllenBWest,100044313495363,POLITICIAN,US,"Candidate for Governor of Texas (see @West4Texas), former Congressman, retired Army Lt. Col.",2008-01-11T04:21:17Z,2635177,2455680,2021-07-06T20:34:49Z,2021-07-06,20:34:49,Photo,185882,113484,8884,11972,49263,78,31,8,18,2144,NA,-,0,0,0,N/A,https://www.facebook.com/22067606728/posts/10160835165131729,"Today I had 14 media interviews starting at 5:30am, last one at 5:30pm. Each interview started with the question why are you running for Governor of Texas? Well, the main reason is sleeping here on my chest. Jaxton Bernard will have the legacy of individual rights, Liberty and freedom passed onto him . . . and Pa Pop is gonna ensure the borders are secured, CRT is crushed, this house will be bequeathed to him, and progressive socialism is defeated. #DefendingTXRepublic Join me in this at West4Texas.com",https://www.facebook.com/AllenBWest/photos/a.373120306728/10160835164996729/?type=3,NA,D,NA,NA,NA,NA,NA,24.17,Allen West,2021-07-07T00:00:00Z
NA,SeanHannity,100047112765345,NEWS_PERSONALITY,US,"Sean Hannity hosts 'Hannity' on the Fox News Channel and 'The Sean Hannity Show,' the second most li",2008-08-22T20:48:35Z,3632946,4168936,2021-06-03T11:06:17Z,2021-06-03,11:06:17,Link,178035,104948,5497,19633,46291,73,50,3,13,1527,NA,-,0,0,0,N/A,https://www.facebook.com/100047112765345/posts/330672298513193,"**FATHER: ""I want little White kids to know they are not oppressors, I want little Black kids to know they are not oppressed... You can overcome any obstacle, your skin color does not matter.""**",https://hannity.com/media-room/character-not-color-father-daughter-duo-speak-out-on-critical-race-theory-viral-video/,NA,NA,"CHARACTER, NOT COLOR: Father-Daughter Duo Speak Out on Critical Race Theory, Viral Video | Sean Hannity","The father-daughter duo that gained national attention this week spoke with Fox News after their video on ‘Critical Race Theory’ was viewed by millions of Americans. “I’ve just seen a lot of things going on in America right now, going on in the world. I see the agenda being pushed on our chi...",NA,NA,NA,53.9,Sean Hannity,2021-06-03T00:00:00Z
NA,bennyjohnson,100044167312598,DIGITAL_CREATOR,US,"🇺🇸  Family, God, America
🎙️ Host - The Benny Show
 📺 Anchor - NewsmaxTV
🎥  Contributor - TPUSA",2016-10-05T16:54:43Z,421968,1134781,2021-07-20T10:00:30Z,2021-07-20,10:00:30,Native Video,177973,85282,6823,67697,16842,182,458,48,125,516,crosspost,Yes,1545291,2030200,3193621,00:04:25,https://www.facebook.com/170168510099531/posts/1284265225356515,Throwback: Watch this parent absolutely obliterate Critical Race Theory at an Illinois school board meeting: “How do I have two medical degrees if I’m sitting here oppressed?” We neeed more parents like this.,https://www.facebook.com/bennyjohnson/videos/859166668139148/,NA,NA,Watch This Parent Destroy Critical Race Theory Forever,NA,NA,NA,NA,18.6,Benny Johnson,2021-07-20T00:00:00Z
NA,officialbenshapiro,100044139414360,NEWS_PERSONALITY,US,This is my official Facebook fan page. You can also follow me on twitter @benshapiro.,2011-05-18T03:31:56Z,6219654,7784292,2021-03-21T18:28:27Z,2021-03-21,18:28:27,Native Video,172459,124701,5932,17329,23626,68,73,27,61,642,crosspost,No,1116315,1310269,7190145,00:03:07,https://www.facebook.com/100044139414360/posts/297957515018893,"Gov. DeSantis: ""There's no room in our classrooms for things like Critical Race Theory""",https://www.facebook.com/officialbenshapiro/videos/2713583435618800/,NA,NA,"Gov. DeSantis: ""There's no room in our classrooms for things like Critical Race Theory""",NA,NA,NA,NA,20.31,Ben Shapiro,2021-03-22T00:00:00Z
NA,SeanHannity,100047112765345,NEWS_PERSONALITY,US,"Sean Hannity hosts 'Hannity' on the Fox News Channel and 'The Sean Hannity Show,' the second most li",2008-08-22T20:48:35Z,3482173,4081591,2021-03-17T15:15:41Z,2021-03-17,15:15:41,Link,171090,110574,10171,21040,27613,188,69,196,293,946,NA,-,0,0,0,N/A,https://www.facebook.com/100047112765345/posts/267695818144175,"DeSANTIS: ""There is no room in our classrooms for things like Critical Race Theory. Teaching kids to hate their country and to hate each other is not worth one red cent of taxpayer money!""",https://hannity.com/media-room/desantis-teaching-kids-to-hate-their-country-and-each-other-not-worth-one-cent-from-taxpayers/,NA,NA,DeSANTIS: ‘Teaching Kids to Hate Their Country and Each Other’ Not Worth ‘One Cent from Taxpayers’ | Sean Hannity,Florida Governor Ron DeSantis addressed reporters Wednesday on his state’s push to get all children back into the classrooms; saying things like “Critical Race Theory” don’t deserve a single penny from Floridian taxpayers. “There is no room in our classrooms for things like Critical Race T...,NA,NA,NA,48.76,Sean Hannity,2021-03-18T00:00:00Z
NA,officialbenshapiro,100044139414360,NEWS_PERSONALITY,US,This is my official Facebook fan page. You can also follow me on twitter @benshapiro.,2011-05-18T03:31:56Z,6373175,7939695,2021-05-19T11:47:03Z,2021-05-19,11:47:03,Link,165818,136886,3190,7972,17375,61,33,4,17,280,NA,-,0,0,0,N/A,https://www.facebook.com/100044139414360/posts/352007702947207,Good call.,https://www.dailywire.com/news/utah-legislature-moves-to-ban-critical-race-theory-from-public-schools?utm_source=facebook&utm_medium=social&utm_campaign=benshapiro,NA,NA,Utah Legislature Moves To Ban Critical Race Theory From Public Schools,"Utah has become the latest state to start the process of banning critical race theory (CRT) from being taught in public schools, with the state’s Speaker",NA,NA,NA,38.19,Ben Shapiro,2021-05-19T00:00:00Z
NA,officialbenshapiro,100044139414360,NEWS_PERSONALITY,US,This is my official Facebook fan page. You can also follow me on twitter @benshapiro.,2011-05-18T03:31:56Z,6478828,8047512,2021-06-23T18:02:07Z,2021-06-23,18:02:07,Link,163898,126027,5323,12062,19208,511,95,67,144,461,NA,-,0,0,0,N/A,https://www.facebook.com/100044139414360/posts/392415822239728,Digging their heels in and doubling down the whole way through.,https://www.dailywire.com/news/how-loudoun-county-became-the-apex-of-the-fight-against-critical-race-theory?utm_source=facebook&utm_medium=social&utm_campaign=benshapiro,NA,NA,How Loudoun County Became The Apex Of The Fight Against Critical Race Theory,Loudoun County has found itself at the eye of the politically correct hurricane as the fight against CRT dominates headlines in the media.,NA,NA,NA,42.53,Ben Shapiro,2021-06-24T00:00:00Z
Ben Shapiro,officialbenshapiro,100044139414360,NEWS_PERSONALITY,US,This is my official Facebook fan page. You can also follow me on twitter @benshapiro.,2011-05-18T03:31:56Z,6478828,8047512,2021-06-23T18:02:07Z,2021-06-23,18:02:07,Link,163898,126027,5323,12062,19208,511,95,67,144,461,NA,-,0,0,0,N/A,https://www.facebook.com/100044139414360/posts/392415822239728,Digging their heels in and doubling down the whole way through.,https://www.dailywire.com/news/how-loudoun-county-became-the-apex-of-the-fight-against-critical-race-theory?utm_source=facebook&utm_medium=social&utm_campaign=benshapiro,NA,NA,How Loudoun County Became The Apex Of The Fight Against Critical Race Theory,Loudoun County has found itself at the eye of the politically correct hurricane as the fight against CRT dominates headlines in the media.,NA,NA,NA,42.53,NA,2021-06-24T00:00:00Z
NA,officialbenshapiro,100044139414360,NEWS_PERSONALITY,US,This is my official Facebook fan page. You can also follow me on twitter @benshapiro.,2011-05-18T03:31:56Z,6336005,7906375,2021-05-05T18:32:06Z,2021-05-05,18:32:06,Link,161035,126498,3163,10485,20462,61,48,7,24,287,NA,-,0,0,0,N/A,https://www.facebook.com/100044139414360/posts/336651637816147,At least some states still prioritize real education over indoctrination.,https://www.dailywire.com/news/bill-passes-tennessee-state-house-prohibiting-critical-race-theory-in-public-schools?utm_source=facebook&utm_medium=social&utm_campaign=benshapiro,NA,NA,Bill Passes Tennessee State House Prohibiting Critical Race Theory In Public Schools,"On Wednesday, May 5, the Tennessee State House voted to ban teaching critical race theory in public schools.",NA,NA,NA,37.09,Ben Shapiro,2021-05-06T00:00:00Z
NA,officialbenshapiro,100044139414360,NEWS_PERSONALITY,US,This is my official Facebook fan page. You can also follow me on twitter @benshapiro.,2011-05-18T03:31:56Z,6385746,7952045,2021-05-22T21:24:05Z,2021-05-22,21:24:05,Link,157115,130012,2391,4780,19498,71,51,5,13,294,NA,-,0,0,0,N/A,https://www.facebook.com/100044139414360/posts/355152715966039,Ok this is epic.,https://www.dailywire.com/news/texas-legislature-set-to-ban-mandatory-critical-race-theory-in-schools?utm_source=facebook&utm_medium=social&utm_campaign=benshapiro,NA,NA,Texas Legislature Set To Ban Mandatory Critical Race Theory In Schools,The Texas State Senate passed a bill Saturday banning the state's schools from mandating that instructors teach critical race theory.,NA,NA,NA,36.18,Ben Shapiro,2021-05-23T00:00:00Z
NA,prageru,100064353922429,PERSON,US,The world's leading conservative nonprofit focused on changing minds through creative digital media,2010-07-18T16:57:55Z,3858809,4385759,2021-08-25T06:33:00Z,2021-08-25,06:33:00,Native Video,148882,58718,6920,63938,18159,230,173,61,125,558,crosspost,Yes,1092016,1376697,2559201,00:06:19,https://www.facebook.com/127225910653607/posts/4568014673241353,"""Racism in America would by and large be dead today if it were not for certain people and institutions keeping it on life support."" 👏👏👏",https://www.facebook.com/prageru/videos/234977691857782/,NA,NA,Dad eloquently DISMANTLES CRT in school board speech,NA,NA,NA,NA,31.56,PragerU,2021-08-25T00:00:00Z
NA,officialbenshapiro,100044139414360,NEWS_PERSONALITY,US,This is my official Facebook fan page. You can also follow me on twitter @benshapiro.,2011-05-18T03:31:56Z,6619868,8185990,2021-08-18T16:22:58Z,2021-08-18,16:22:58,Native Video,145154,70691,4720,45307,23477,235,81,33,53,557,crosspost,No,973708,1608906,2000775,00:05:56,https://www.facebook.com/100044139414360/posts/453245112823465,WATCH: Two Black Dads DISMANTLE Critical Race Theory At School Board Meeting,https://www.facebook.com/officialbenshapiro/videos/538173760735941/,NA,NA,WATCH: Two Black Dads DISMANTLE Critical Race Theory At School Board Meeting,NA,NA,NA,NA,21.94,Ben Shapiro,2021-08-19T00:00:00Z
Tucker Carlson Tonight,TuckerCarlsonTonight,368557930146199,TV_SHOW,US,Tucker Carlson will bring you a live hour of spirited debate and powerful reporting each night.,2016-11-08T22:07:26Z,2181841,3123234,2020-11-12T20:55:52Z,2020-11-12,20:55:52,Native Video,142975,61672,11434,45463,1791,3063,1555,1164,16646,187,owned,Yes,1927394,2298266,0,00:14:33,https://www.facebook.com/368557930146199/posts/1351111031890879,"This show has exclusively obtained a memo from The Glover Park Group, a lucrative lobbying shop in Washington with ties to Joe Biden. It outlines Biden's chief priorities. They include financial aid for illegal aliens, a big increase in refugee resettlement, and more taxpayer funding for critical race theory indoctrination. Who’s for this stuff? Unhappy rich ladies in the suburbs. They love it. It makes them feel virtuous. They’re Biden’s base, so they’re in control now. But what do these policies do for America’s struggling middle class? Absolutely nothing. But who cares? They didn’t vote for Joe Biden.",https://www.facebook.com/TuckerCarlsonTonight/videos/842638766482764/,NA,NA,"Leaked Memo Reveals Biden's ""Day One Priorities""",NA,NA,NA,NA,2.61,NA,2020-11-13T00:00:00Z
