message,type,overperforming,url,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,word_count,total_interactions,likes,comments,shares,love,wow,haha,sad,angry,care
"**UPDATE** The Daily Local's editor has revised the story to remove the reporter's personal commentary, denoted that the first speaker has never attended DASD, and corrected the inaccurate information regarding the board vote. The Daily Local has planned a follow-up article and in-person coverage at future board meetings to help present a more accurate and balanced report of the evening. *** The Daily Local News published an article yesterday that inaccurately portrayed last week’s board meeting as well as the diversity, equity and inclusion (DEI) work happening in DASD. The Daily Local has revised the article to correct the inaccuracies. To clarify any misconceptions, DASD is not teaching Critical Race Theory (CRT) and there are no plans to do so in the future. The DEI director’s role is not to create, design or revise instructional curriculum (such as critical race theory). The Pennsylvania Department of Education is clear with districts in terms of the curricular standards that we are required to teach, and DASD adheres to them. DASD IS supporting diversity, equity and inclusion by promoting kindness, civility, understanding of people and acceptance of others’ lived experiences and backgrounds. The cultural diversity of our student population has more than doubled in the past 10 years. In DASD, there are nearly 2,200 students receiving special education services, nearly 300 receiving gifted education services and more than 300 receiving accommodations through a section 504 service agreement. According to the Williams Institute, 4.1% of Pennsylvania’s adult population identifies at LGBT. It is our responsibility to acknowledge and respect our differences, and to provide a learning environment where all students feel safe, understood and valued. We must support all staff and students, regardless of gender, race, color, creed, sexual orientation or ability. Schools that are inclusive and foster the whole child are better able to meet the wellness and academic needs of all students. DEI work creates a culture of kindness, respect, compassion and grace. School-wide strategies that align wellness, inclusion, diversity and equity empower all students to meet their individual and unique goals.",Status,10.07,https://www.facebook.com/148341361326/posts/10159156205556327/,2,17,0,2,12,3,40,2,7,20,342,1269,295,770,50,145,1,4,0,1,3
"The Carteret County Public School System’s Board of Education met at 6:00 p.m. at Croatan High School in Newport, N.C. to consider revisions to Carteret County Board of Education Policy 7720 - Employee Political Activities, for first review. In addition, the Board of Education also considered operational protocols based on revisions to the North Carolina Department of Health and Human Services (NCDHHS) StrongSchoolsNC Public Health Toolkit for kindergarten through 12th grade. The revision of Policy 7720 - Employee Political Activities was considered for a first read by the Board of Education members. The policy revision included the following statement: This policy should not be construed as prohibiting the impartial study and discussion of political or other controversial issues in the classroom setting, including the dissemination of factual information about serious problems the school system or the community may be facing because of political actions, where such teaching or information reasonably relates to the standards of the course. Both sides of the political issue shall be presented, supported by primary or balanced secondary sources so that students are provided an opportunity to be well informed and to be able to make their own decisions regarding political or other controversial issues. Further, this policy shall ensure that social theories of any kind (i.e. Holocaust Denial Theory, 9/11 Theory, Critical Race Theory) are not presented to students unless approved by the Carteret County Board of Education. It is the responsibility of the Board to ensure that curricular standards are taught using well documented, factual resources and not opinion or conjecture. The Carteret County Public School System does not teach Critical Race Theory, nor are there any plans to do so in the future. The Carteret County Board of Education promotes respect for all persons and encourages school system personnel to incorporate this foundational concept in all instructional activities. Students should be encouraged to think critically, freely, and with a respect for differences of opinion. The Board rejects any curriculum, instructional activity, or instructional resource that devalues any person. The school system’s frequent expression of “#CarteretStrong” is predicated upon the belief that we are “#StrongerTogether.” Superintendent Dr. Rob Jackson gave a detailed PowerPoint presentation on NCDHHS StrongSchoolsNC Public Health Toolkit for kindergarten through 12th grade, which included updates on toolkit revisions, educational experience for students, health and wellness protocols, transportation, child nutrition, cloth face coverings, and quarantine guidelines. Dr. Jackson met with the Health Director and other health officials from the Carteret County Health Department prior to the meeting to ensure the information being presented was accurate and up-to-date. The StrongSchoolsNC Public Health Toolkit states, “If a school does not require individuals who are not fully vaccinated to wear a mask, they should ensure a layered mitigation strategy, including physical distancing, ventilation, hand hygiene, adequate access to diagnostic and screening testing, and closely monitor for increases in COVID-19 cases.” Board members reiterated the priority placed on the health and safety of students and staff and the importance of students attending school face-to-face. After Dr. Jackson's presentation and discussion by Board members, a unanimous decision was made by the Carteret County Board of Education to make masks optional in Carteret County Public Schools. Students and staff members will not be required to wear masks during the 2021-2022 school year, however, mask-wearing is optional for students and staff.",Photo,9.86,https://www.facebook.com/267159566634514/posts/4883428201674271/,5,27,2,4,7,8,38,3,1,44,559,1144,315,254,299,255,2,0,8,9,2
"Clarification of Board Members' Position on Critical Race Theory A recent news article seemingly indicated that four of our current Board of Education members, Cyndee Bratz, Amanda Karpus, John Schweitzer, and Steve Vaughn, support the teaching of Critical Race Theory (CRT) in our schools. This notion is not at all accurate. We have clearly and succinctly addressed CRT on multiple occasions at our Board meetings: we do not teach, nor do we have any plans to teach CRT in our schools. Our curricula are publicly adopted documents that are accessible through a public records request. Further, our course registration guide is available at https://www.parmacityschools.org/Page/1330.:=:https://www.parmacityschools.org/errors/404.aspx?aspxerrorpath=/Page/1330. None of these contain any reference to CRT. It simply is not, nor will be, present in the Parma City School District. Charlie",Photo,9.23,https://www.facebook.com/147644668603762/posts/4787297001305149/,0,7,1,0,3,1,8,0,3,8,138,563,99,394,43,19,1,3,2,2,0
"“As long as I am Superintendent, I will commit to keeping any theory or curriculum, which is not part of Georgia's standards, out of every Cobb County classroom.” - Superintendent Chris Ragsdale https://www.cobbk12.org/_ci/p/45761",Photo,8.53,https://www.facebook.com/84712514466/posts/10159900771419467/,0,2,0,0,0,0,0,0,0,2,37,785,197,382,38,67,4,3,6,87,1
"Shout out to these brave, articulate students for sharing their perspectives on the new Black History and Black Literature courses. Love seeing our students stay informed and share their thoughts on District news! https://bit.ly/3BwxNaZ:=:https://www.ksdk.com/video/news/education/missouri-school-districts-deciding-how-to-teach-about-race/63-3c2f7f3b-09c5-4361-8d11-fcab8c0f9225",Link,8.28,https://www.facebook.com/708726049256854/posts/3986040458192047/,1,1,0,0,3,2,4,2,2,3,56,1168,285,685,20,168,0,2,0,7,1
"Due to interest in participation and the potential for a larger audience than usual, the July 14 Board of Education meeting will now be held at Elkton High School and the public comment portion of the agenda has been modified to accommodate the anticipated number of speakers. PLEASE NOTE: Critical Race Theory is NOT taught in CCPS. CCPS curriculum development is guided by the Maryland College & Career Readiness Standards and developed at the local level. The issue relating to transgender students is a federal directive that has been upheld following a ruling by the United States Court of Appeals for the Fourth Circuit, which schools systems are required to follow. Agenda: https://www.ccps.org/cms/lib/MD01906418/Centricity/ModuleInstance/90/BOE%20agenda%2007%2014%2021.updated.pdf",Photo,7.82,https://www.facebook.com/152424804952121/posts/1701338380060748/,1,7,1,1,1,0,8,0,1,8,125,688,51,518,96,4,1,6,0,10,2
"To our Springboro Families, Springboro Schools would like to address the recent questions and concerns that have been shared by parents and community members regarding Critical Race Theory (CRT) and if CRT is being considered for this district’s curriculum. Additionally, we would like to clarify the purpose of the Superintendent’s Diversity & Inclusion (D&I) Committee. Springboro Schools has not and will not support or implement CRT into our curriculum at any grade level. Additionally, our curriculum will not include the following topics that are sometimes associated with CRT: • Teaching from a perspective that the United States and/or its legal system is systematically racist and designed to create and maintain inequalities between genders, ethnicities, different religious heritages, or races • Teaching that socialism and communism are morally superior to democracy, capitalism, and a free market economy • That any gender, ethnicity, religious heritage, or race should feel superior or inferior • That one should feel guilt or shame due to their ethnicity, religious heritage, race, or gender Springboro Schools follows the Ohio Department of Education’s (ODE) Learning Standards. Those standards for social studies were reviewed and adopted in 2018, and do not include CRT. As standards are updated and released, the Superintendent will make recommendations to the Board of Education on whether or not to adopt them. Springboro Schools would not recommend the support of the aforementioned curriculum items that are outlined above. To view ODE’s current standards for social studies, as well as all other subject areas, please visit - http://education.ohio.gov/Topics/Learning-in-Ohio/OLS-Graphic-Sections/Learning-Standards.:=:http://education.ohio.gov/CMSMessages/PageNotFound.aspx?aspxerrorpath=/Topics/Learning-in-Ohio/OLS-Graphic-Sections/Learning-Standards. The D&I Committee’s focus is on improving the learning environment within Springboro Schools, in order to ensure that every student, regardless of ethnicity, religious heritage, gender, or race, feels welcome, safe, and ready to learn. The D&I Committee is not responsible for the district’s curriculum, nor does it have the authority to implement any changes to it; only the Superintendent and the Board of Education hold that authority. Report-outs and recommendations from the D&I Committee will continue to be public and are still subject to approval by the Superintendent and Board of Education. This is consistent with all other Superintendent committees. Springboro Schools is committed to maintaining our excellent curriculum, which is the educational foundation of countless Springboro graduates who have gone on to enjoy success in numerous pursuits such as college, vocational school, military service, and skilled trades. We will also strive to continuously improve our environment and student experience so that every student is able to feel welcome and safe. Thank you, Larry Hook, Superintendent Springboro Schools",Photo,7.43,https://www.facebook.com/504538452950355/posts/5685697064834442/,1,11,3,4,7,6,38,4,0,26,445,676,165,329,55,80,6,4,2,35,0
"From Superintendent Dr. Eugene Schmidt – Farmington Municipal Schools (FMS) is aware of the conversations at the federal, state and local level about Critical Race Theory (CRT). FMS does not provide instruction on Critical Race Theory and the School Board does not intend to bring forth any action to introduce CRT to our schools. Read more: https://bit.ly/3DVhvKd:=:https://district.fms.k12.nm.us/about_us/news/superintendent_messages",Status,6.43,https://www.facebook.com/234050013364205/posts/3640499356052570/,0,3,0,0,0,0,4,0,0,7,64,450,214,74,77,73,1,1,1,3,6
"A Statement From The Superintendent of Schools, Dr. Steve Barnes: We understand that many rumors and misinformation have been circulating online about what the Morgan County R-II School District is teaching, and we’d like to address that so you know what is going on in our classrooms. The number one thing to know is that what has been taught at Morgan County R-II will continue to be taught at Morgan County R-II. To address possible misunderstandings: - We are not adopting Critical Race Theory (or something similar) and we are also not changing words used to sneak in a political agenda or a particular program under a different name. That is not who we are. We will always be transparent about what children are learning in the classrooms and always look for ways to do better when we can. Critical Race Theory (CRT) is not a part of the social studies or any other curriculum, or in the Missouri State Standards, and we have no plan on changing that. CRT is an analytical tool that is used at the university level for evaluating the legal system and is not appropriate for the K-12 curriculum. - We do not have any classes that teach students to be ethnically a certain way. (The example asked about has been – “teaching students to be less white”. That is not and will not be a class.) - We do not have any classes that teach students about their gender roles and responsibilities. (The example asked about has been – “teaching boys to be more effeminate”. That is not and will not be a class.) In summary, the curriculum your children have learned in the past is the same curriculum that will be in place next year. We are aligned directly with the Missouri State Standards, and if you ever have questions about our curriculum, please do not hesitate to call the Central Office at 573-378-4231 or contact your building principal. You can also view our curriculum by clicking on this link: https://www.versaillestigers.org/curriculum.",Link,5.7,https://www.facebook.com/200680193332454/posts/4211209565612810/,2,6,0,1,3,3,12,0,3,17,341,131,61,10,38,21,0,0,0,0,1
"Understanding that there may be some confusion in our community, please review the following for clarification regarding how diversity, equity and inclusion work supports students and staff in DASD. To learn more, visit www.dasd.org/diversity.:=:https://www.dasd.org/errors/404.aspx?aspxerrorpath=/diversity.",Photo,4.67,https://www.facebook.com/148341361326/posts/10159137801356327/,1,0,0,1,0,1,5,0,0,2,42,584,198,246,45,87,0,2,0,4,2
