Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
Marshfield R-I School News,,2.45938E+14,PUBLIC_SCHOOL,US,Home of the Blue Jays!,1/24/14 15:19,4270,4445,2021-12-16 14:29:28 EST,12/16/21,14:29:28,Status,152,102,4,25,21,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/245937932251091/posts/2129192957258903,"Recently, there have been questions regarding the district's curriculum and standards. We would like to reassure everyone that our district has an open-door to any and all curriculum and instruction related questions. Our building principals and central office leaders are always willing to meet and review our curriculum and instructional material. We welcome the input of our community and value your feedback. Please know that our teaching teams work tirelessly to develop high quality learning experiences for all of our students. With this in mind, we would also like to share the following: 1. All of our curriculum is based on the Missouri Learning Standards provided by the Department of Education (DESE). 2. Neither the Missouri Learning Standards or our curriculum address Critical Race Theory (CRT) or the 1619 Project. Additionally, we have also had questions about the district's Leader in Me program. Leader in Me is based on the book, The 7 Habits of Highly Effective People. This program works to promote leadership and life skills in our students and was started here in 2016. The district researched this program extensively prior to implementation and believes strongly in developing the character and academic skills of all of our students. There is no evidence of CRT in the program. Character education has long been a priority of the Marshfield School District.",,,,,,,,,2.05
"Union Public Schools - Tulsa, OK",UnionSchools,1.77939E+11,PUBLIC_SCHOOL,US,"Education Service Center Address
8506 E. 61st Street-
Tulsa, OK 74133-1926

Union Enrollment Center
6011 S. 89 E. Ave
Tulsa, OK
",10/8/09 3:50,17949,18252,2021-12-14 08:48:31 EST,12/14/21,8:48:31,Link,127,64,8,3,49,0,0,0,2,1,,-,0,0,0,N/A,https://www.facebook.com/177939366689/posts/10159368295096690,"Union Public Schools adopts diversity, equity and inclusion policy Citing increasing diversity among the student body, Union Public Schools’ Board of Education unanimously adopted a new district-wide diversity, equity and inclusion policy Monday night. As approved, the new policy states that the district appreciates diversity of thought, values, perspectives and personhood and is “committed to procedures intended to support a diverse and equitable school community in an inclusive manner.” While presenting it to the school board Monday night, Superintendent Kirt Hartzler said the new policy is not an attempt to subvert state laws or introduce critical race theory into the classroom but is instead an affirmation of the district’s core values. “I don’t know why we wouldn’t want to consider this,” he said, noting that more than 60 languages are spoken by Union students. Continue: https://tulsaworld.com/news/local/education/union-public-schools-adopts-diversity-equity-and-inclusion-policy/article_09cd47a2-5c31-11ec-99cd-77a6acf22eca.html",https://tulsaworld.com/news/local/education/union-public-schools-adopts-diversity-equity-and-inclusion-policy/article_09cd47a2-5c31-11ec-99cd-77a6acf22eca.html,,,"Union Public Schools adopts diversity, equity and inclusion policy","Citing increasing diversity among the student body, Union's school board unanimously adopted a new district-wide diversity, equity and inclusion policy Monday night.",,,,2.44
Purpose Preparatory Academy,PurposePreparatoryAcademy,3.34507E+14,ELEMENTARY_SCHOOL,US,"Purpose Prep is an elementary (K-4) charter school in North Nashville, TN committed to equality of education and providing quality instruction to Nashville's young scholars, preparing them for excellence and future leadership.",1/29/12 18:53,1891,1988,2021-11-16 20:07:48 EST,11/16/21,20:07:48,Photo,6,4,0,0,2,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/334507036580879/posts/4704762289555310,"#Repost @risestrategygroup ・・・ ""The First Amendment is America, and so is the Trail of Tears — which forcibly displaced the Indigenous People from their land in the name of expansion. The Civil Rights Act of 1964 is America, and so is the Three-Fifths Compromise — which counted each formerly enslaved individual as less than a whole person."" Founder and Head of School of Purpose Preparatory Academy (@purpose_prep) Lagra Newman (@lagra.newman) discusses the need to uplift questions of race and privilege in the classroom now, more than ever. As bills aiming to ban critical race theory from classrooms are dominating national conversations about education, leaders like Lagra are stepping up and causing ""good trouble"" fighting back. Read more in the @tennessean. #linkinbio #goodtrouble #congressmanjohnlewis #criticalracetheory #derrickbell #kimberlecrenshaw #history #teachthetruth #educationisfreedom #knowledgeispower #education #purposeprep",https://www.facebook.com/PurposePreparatoryAcademy/photos/a.3867161079982106/4704762232888649/?type=3,,"Tennessean. Why teaching critical race theory in school is an example of 'good trouble' Opinion believe students should have he opportunity to evaluate the scope of American history, ts present- day manifestations and discuss the tough questions inspires. Lagra Newman Guest Columnist Publlished 7:57 a.m. Now 2021 AMTN 202",Photos from Purpose Preparatory Academy's post,,,,,-0.54
Lawrence Public Schools,LawrencePublicSchools,2.07953E+14,PUBLIC_SCHOOL,US,"In Lawrence USD 497, our focus is your student's success!",12/28/11 15:33,8226,9217,2021-11-15 16:37:57 EST,11/15/21,16:37:57,Photo,12,9,0,3,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/207952675960124/posts/4539114369510578,"During this American Education Week, schools are facing so many challenges. How can we support them? Here are a few suggestions: Celebrate students by attending a play, concert, sporting event, or student activity. Mentor a student or share your career path, professional expertise, or cultural traditions with a class. Volunteer with a local organization supporting children and youth at www.unitedwaydgco.org.:=:https://www.unitedwaydgco.org/ Reinforce at home with your children positive behavior expectations, including safety, health and wellness, self-regulation, respect, responsibility, kindness, cooperation, empathy. Participate in a parent organization, booster club, or school advisory committee. Donate classroom supplies, warm clothing, socks and underwear, and hygiene items to schools. Refer a friend or consider substitute teaching, driving a bus, or applying for a job in our schools at mhedteach.com, workatfirst.com, and www.usd497.org/Apply.:=:https://www.usd497.org/errors/404.aspx?aspxerrorpath=/Apply. Stay informed by reading teacher communications and school newsletters, following our official accounts on social media, or watching a school board meeting. Critically evaluate information about schools and seek the facts. (No, we don’t teach Critical Race Theory. Yes, culturally relevant teaching is a best practice.) Advocate for your school - The legislative session starts in January! (See www.usd497.org/Educate:=:https://www.usd497.org/Educate Lawrence.) T.H.I.N.K. before you post or share information about schools: Is it True? Helpful? Inspiring? Necessary? Kind? Send thank-you notes to bus drivers, teachers, paras, secretaries, food service and custodial personnel, nurses, technology staff, librarians, administrators, school board members, and other professionals supporting students. Nominate school staff for recognition at www.usd497.org/Recognition.:=:https://www.usd497.org/errors/404.aspx?aspxerrorpath=/Recognition. Support the Lawrence Schools Foundation at www.lawrenceschoolsfoundation.org.:=:https://lawrenceschoolsfoundation.org/ Contact your child’s school for more ideas!",https://www.facebook.com/LawrencePublicSchools/photos/a.341532765935447/4539113952843953/?type=3,,"HAPPY AMERICAN EDUCATION WEEK NOVEMBER 15-19, 2021 一",,,,,,-3
Burlington School District,BurlingtonVTSchools,1.00064E+14,PUBLIC_SCHOOL,US,"Burlington School District is a pre-k-12 public school system of about 4,000 students in Burlington,",8/30/09 1:57,2050,2310,2021-11-15 13:26:13 EST,11/15/21,13:26:13,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/100064010860842/posts/264369859040041,Just a reminder to please join us for a community workshop on anti-racism on Wednesday!,https://www.facebook.com/events/577234410229082/,,,Let’s Talk about Anti-Racism,How are students and teachers learning about race and racism in BSD? What does examining systemic racism look like in K-12 schooling? What is Critical Race Theory and why is there so much controversy surrounding it? Facilitated by Dr. Eliaquin Gonell and the Office of Equity.,,,,-32
Ocean City Schools,oceancityschools,2.65858E+14,PUBLIC_SCHOOL,US,"The Official Ocean City, New Jersey School District Facebook Page",3/29/12 19:29,1961,2092,2021-11-09 15:39:27 EST,11/9/21,15:39:27,Link,1,1,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/265858010167239/posts/4644017275684602,Reminder 7pm at OC Free Public Library - all are welcome!,https://www.facebook.com/events/412546787176438/,,,Ocean City School District Community Forum,"On Tuesday, November 9, 2021 the Ocean City School District will be holding an open public
forum to address various aspects of our program including curriculum offerings, current
mandates and policies and procedures that impact day-to-day operations.
These are challenging times, as we deal with an ongoing pandemic, legislative updates and the
latest Executive Orders that impact our schools. Questions surrounding topics such as Critical
Race Theory, Gender Identity, and issues relating to social and sexual health have been making
the news and will be presented for discussion.
We will also discuss current initiatives surrounding school operations and student behavior
including vaping, general student conduct and attendance/tardiness.
In an effort to ensure that we have the available space and in response to requests for a more convenient time, the Open Public Forum to address various aspects of our school program will now be held at the Ocean City Free Public Library Lecture Hall at 1735 Simpson Avenue.

The start time for the forum has been changed from 6:00 p.m. to 7:00 p.m. and, because the forum is being held off of the school property, masks will be optional.

We look forward to your attendance as we seek to address important issues facing our schools. Please be reminded that if you have any specific questions you would like us to address you can share them HERE

 

If you have any questions regarding these changes, please reach out the Superintendent’s office.
.",,,,-0.94
South Middleton School District,Bubblers.us,5.5491E+14,PUBLIC_SCHOOL,US,"Welcome to the official site for SMSD administrators to post announcements, event reminders, school news, student & staff kudos, cancellations & closings.",12/17/14 19:05,2614,2779,2021-11-08 16:34:24 EST,11/8/21,16:34:24,Link,142,89,19,15,17,0,0,0,2,0,,-,0,0,0,N/A,https://www.facebook.com/554909947987311/posts/2591667840978168,"SMSD Mr. Estep Letter to the SMSD Community November 8, 2021 Dear SMSD Community, On September 13, I stepped into the role of serving as SMSD’s Superintendent of Schools. I’m very happy to be here and believe my extensive leadership experience, which stretches back nearly 28 years, will be of real assistance in tackling some of the district’s systems issues which require immediate attention. I have spent the better portion of my first seven weeks trying to fill key leadership positions which were vacated this past spring and summer. Bit by bit, a new leadership team has been onboarding over the last month and our team is now fully intact. This was the first priority to tackle upon my entry, and I’m very pleased with the quality of candidates we have managed to bring into our learning community. During my short time here, we have found some specific operational systems utilized in business, payroll and human resources in recent years have either been inadequate, lacking appropriate checks and balances, or simply not following best practices for a nearly $40 million organization. To this end, I have spent a great deal of time digging deeper into how and why these systems were either not set up and administered properly, or fixing mistakes generated by a lack of a strategic approach to operations. This is all fixable, but it requires an initial investment of time, during which our new leadership team will thoroughly review files and systems, address and correct errors, and establish clear, redundant protocols and feedback loops for payroll, business and HR operations to run smoothly moving forward. Since my arrival, I have met with various staff members, become acquainted with the people with whom I’m working and have gotten to know the board. Because we have needed to onboard so many new people, I’m also spending time either directly mentoring individuals or reaching out to experienced individuals in neighboring districts or school support organizations to assist in advising some of our new hires. At recent board meetings, I’ve referred to this as triage work and I’ve advised the board that most of my first nine to 10 months on the job will center on this. I have also been asked to recruit someone into the district whom I can mentor to replace me at the end of the 2022-2023 school year, as I prepare to retire. I know some community members are concerned about whether the district intends to revisit the diversity and equity initiative which began last school year. Concerns were raised at a recent board meeting that the district had spent some $500,000 on diversity and equity curriculum and resources. Let me be clear: that DID NOT happen. Someone must have either been confused about a budget discussion on overall K-12 curriculum and professional development and textbook purchasing, or had their own agenda and spread false information. The bottom line is that SMSD has not expended $500,000 on diversity and equity initiatives. Regarding my stance on the formal JEDI initiative that began last school year, and was apparently tabled in the spring or early summer prior to my arrival, I ask that everyone refers to the priorities I’ve discussed in the first three paragraphs of this letter. In the immediate future, my focus is on fixing fundamental operations, preparing to develop a budget for next fiscal year, helping the district find its next superintendent, and working with my new leadership team to prioritize areas in need of immediate correction and fix them. After that, we will develop and implement long-term practices to ensure those areas function properly, well into the future. These areas of priority will occupy almost all of my time and the time of my core leadership team for the remainder of this school year. Finally, regarding curriculum content: public schools are governed by Chapter 4 of the PA School Code of 1949. Over the years, there have been periodic updates to Chapter 4, which outlines what must be included in district curricular content. I have been a superintendent for nearly 18 years, and at no time during that span do I recall any update to Chapter 4 requiring public schools to teach Critical Race Theory as part of our curriculum—though for many, many years, there have been historical references in our guidelines for including discussion and analysis of domestic unrest, and racial and ethnic tension. If CRT had been mandated, every superintendent and curriculum director in the state would have received formal notification of this change—that has not happened, nor is it ever likely to happen. Unfortunately, social media, media punditry and rabid politics have enabled susceptible individuals to be duped into linking any attempt to address concepts like diversity, racial bigotry, marginalization, or inequitable treatment of sub-groups to the so-called culture wars and government indoctrination of children. Here is a link to Chapter 4 on the PA Department of Education website: (truncated)",http://www.pacodeandbulletin.gov/Display/pacode?file=%2Fsecure%2Fpacode%2Fdata%2F022%2Fchapter4%2Fchap4toc.html&d,,,22,"Information included at this site has been derived directly from the Pennsylvania Code, the Commonwealth's official publication of rules and regulations and from the Pennsylvania Bulletin, the Commonwealth's official gazette for information and rulemaking",,,,2.12
Conecuh County Schools,conecuhcountyal,1.00064E+14,SCHOOL,US,We will advance forward and move higher toward a climate that encourages continuous growth and prepa,4/9/15 13:11,3553,3718,2021-11-07 23:16:18 EST,11/7/21,23:16:18,Photo,19,12,4,1,1,1,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/1574680076145381/posts/3149386792008027,"School Board Member Mrs. Jan Hayes (pictured in the center) represented District 1 at the 2020-2021 Equity Committee Meeting held in Montgomery at Alabama Association of School Boards. The purpose of the meeting was to discuss how the various school boards address equity issues and the challenges they face in order to provide equity to our students. Topics of discussion included how AASB could better get school boards involved in equity training and Critical Race Theory. Mrs. Hayes commented, ""It was a very interesting meeting and I’d love to see our board take advantage of this new training when it is available in the near future.""",https://www.facebook.com/1574680076145381/photos/a.1631222073824514/3149386752008031/?type=3,,,,,,,,-1.32
Burlington School District,BurlingtonVTSchools,1.00064E+14,PUBLIC_SCHOOL,US,"Burlington School District is a pre-k-12 public school system of about 4,000 students in Burlington,",8/30/09 1:57,2048,2314,2021-11-03 13:36:38 EDT,11/3/21,13:36:38,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/143649550232/posts/10158185738860233,"Coming up on Nov. 17th is the next Workshop in our Equity Workshop series, Let's Talk About Anti-Racism. https://www.bsdvt.org/2020/12/08/bsd-equity-office-announces-equity-webinar-series/",https://www.facebook.com/events/577234410229082/,,,Let’s Talk about Anti-Racism,How are students and teachers learning about race and racism in BSD? What does examining systemic racism look like in K-12 schooling? What is Critical Race Theory and why is there so much controversy surrounding it? Facilitated by Dr. Eliaquin Gonell and the Office of Equity.,,,,-32
Ocean City Schools,oceancityschools,2.65858E+14,PUBLIC_SCHOOL,US,"The Official Ocean City, New Jersey School District Facebook Page",3/29/12 19:29,1961,2092,2021-11-02 16:40:13 EDT,11/2/21,16:40:13,Live Video Scheduled,5,3,2,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/265858010167239/posts/412546787176438,,https://www.facebook.com/events/412546787176438/,,,Ocean City School District Community Forum,"On Tuesday, November 9, 2021 the Ocean City School District will be holding an open public
forum to address various aspects of our program including curriculum offerings, current
mandates and policies and procedures that impact day-to-day operations.
These are challenging times, as we deal with an ongoing pandemic, legislative updates and the
latest Executive Orders that impact our schools. Questions surrounding topics such as Critical
Race Theory, Gender Identity, and issues relating to social and sexual health have been making
the news and will be presented for discussion.
We will also discuss current initiatives surrounding school operations and student behavior
including vaping, general student conduct and attendance/tardiness.
In an effort to ensure that we have the available space and in response to requests for a more convenient time, the Open Public Forum to address various aspects of our school program will now be held at the Ocean City Free Public Library Lecture Hall at 1735 Simpson Avenue.

The start time for the forum has been changed from 6:00 p.m. to 7:00 p.m. and, because the forum is being held off of the school property, masks will be optional.

We look forward to your attendance as we seek to address important issues facing our schools. Please be reminded that if you have any specific questions you would like us to address you can share them HERE

 

If you have any questions regarding these changes, please reach out the Superintendent’s office.
.",,,,-0.67
