post_created_date,page_name,type,total_interactions,likes,comments,shares,love,wow,haha,sad,angry,care,message,url,nces_id,post_id,overperforming,followers_at_posting,state_combined,n_students_combined
7/21/21,Downingtown Area School District,Status,1269,295,770,50,145,1,4,0,1,3,"**UPDATE** The Daily Local's editor has revised the story to remove the reporter's personal commentary, denoted that the first speaker has never attended DASD, and corrected the inaccurate information regarding the board vote. The Daily Local has planned a follow-up article and in-person coverage at future board meetings to help present a more accurate and balanced report of the evening. *** The Daily Local News published an article yesterday that inaccurately portrayed last week’s board meeting as well as the diversity, equity and inclusion (DEI) work happening in DASD. The Daily Local has revised the article to correct the inaccuracies. To clarify any misconceptions, DASD is not teaching Critical Race Theory (CRT) and there are no plans to do so in the future. The DEI director’s role is not to create, design or revise instructional curriculum (such as critical race theory). The Pennsylvania Department of Education is clear with districts in terms of the curricular standards that we are required to teach, and DASD adheres to them. DASD IS supporting diversity, equity and inclusion by promoting kindness, civility, understanding of people and acceptance of others’ lived experiences and backgrounds. The cultural diversity of our student population has more than doubled in the past 10 years. In DASD, there are nearly 2,200 students receiving special education services, nearly 300 receiving gifted education services and more than 300 receiving accommodations through a section 504 service agreement. According to the Williams Institute, 4.1% of Pennsylvania’s adult population identifies at LGBT. It is our responsibility to acknowledge and respect our differences, and to provide a learning environment where all students feel safe, understood and valued. We must support all staff and students, regardless of gender, race, color, creed, sexual orientation or ability. Schools that are inclusive and foster the whole child are better able to meet the wellness and academic needs of all students. DEI work creates a culture of kindness, respect, compassion and grace. School-wide strategies that align wellness, inclusion, diversity and equity empower all students to meet their individual and unique goals.",https://www.facebook.com/148341361326/posts/10159156205556327/,4207710,148341000000,10.07,11952,PENNSYLVANIA,12909
7/23/21,Francis Howell School District,Link,1168,285,685,20,168,0,2,0,7,1,"Shout out to these brave, articulate students for sharing their perspectives on the new Black History and Black Literature courses. Love seeing our students stay informed and share their thoughts on District news! https://bit.ly/3BwxNaZ:=:https://www.ksdk.com/video/news/education/missouri-school-districts-deciding-how-to-teach-about-race/63-3c2f7f3b-09c5-4361-8d11-fcab8c0f9225",https://www.facebook.com/708726049256854/posts/3986040458192047/,2928950,708726000000000,8.28,18309,MISSOURI,16936
7/28/21,Carteret County Public School System,Photo,1144,315,254,299,255,2,0,8,9,2,"The Carteret County Public School System’s Board of Education met at 6:00 p.m. at Croatan High School in Newport, N.C. to consider revisions to Carteret County Board of Education Policy 7720 - Employee Political Activities, for first review. In addition, the Board of Education also considered operational protocols based on revisions to the North Carolina Department of Health and Human Services (NCDHHS) StrongSchoolsNC Public Health Toolkit for kindergarten through 12th grade. The revision of Policy 7720 - Employee Political Activities was considered for a first read by the Board of Education members. The policy revision included the following statement: This policy should not be construed as prohibiting the impartial study and discussion of political or other controversial issues in the classroom setting, including the dissemination of factual information about serious problems the school system or the community may be facing because of political actions, where such teaching or information reasonably relates to the standards of the course. Both sides of the political issue shall be presented, supported by primary or balanced secondary sources so that students are provided an opportunity to be well informed and to be able to make their own decisions regarding political or other controversial issues. Further, this policy shall ensure that social theories of any kind (i.e. Holocaust Denial Theory, 9/11 Theory, Critical Race Theory) are not presented to students unless approved by the Carteret County Board of Education. It is the responsibility of the Board to ensure that curricular standards are taught using well documented, factual resources and not opinion or conjecture. The Carteret County Public School System does not teach Critical Race Theory, nor are there any plans to do so in the future. The Carteret County Board of Education promotes respect for all persons and encourages school system personnel to incorporate this foundational concept in all instructional activities. Students should be encouraged to think critically, freely, and with a respect for differences of opinion. The Board rejects any curriculum, instructional activity, or instructional resource that devalues any person. The school system’s frequent expression of “#CarteretStrong” is predicated upon the belief that we are “#StrongerTogether.” Superintendent Dr. Rob Jackson gave a detailed PowerPoint presentation on NCDHHS StrongSchoolsNC Public Health Toolkit for kindergarten through 12th grade, which included updates on toolkit revisions, educational experience for students, health and wellness protocols, transportation, child nutrition, cloth face coverings, and quarantine guidelines. Dr. Jackson met with the Health Director and other health officials from the Carteret County Health Department prior to the meeting to ensure the information being presented was accurate and up-to-date. The StrongSchoolsNC Public Health Toolkit states, “If a school does not require individuals who are not fully vaccinated to wear a mask, they should ensure a layered mitigation strategy, including physical distancing, ventilation, hand hygiene, adequate access to diagnostic and screening testing, and closely monitor for increases in COVID-19 cases.” Board members reiterated the priority placed on the health and safety of students and staff and the importance of students attending school face-to-face. After Dr. Jackson's presentation and discussion by Board members, a unanimous decision was made by the Carteret County Board of Education to make masks optional in Carteret County Public Schools. Students and staff members will not be required to wear masks during the 2021-2022 school year, however, mask-wearing is optional for students and staff.",https://www.facebook.com/267159566634514/posts/4883428201674271/,3700630,267160000000000,9.86,11753,NORTH CAROLINA,7843
5/21/21,Cobb County Schools,Photo,785,197,382,38,67,4,3,6,87,1,"“As long as I am Superintendent, I will commit to keeping any theory or curriculum, which is not part of Georgia's standards, out of every Cobb County classroom.” - Superintendent Chris Ragsdale https://www.cobbk12.org/_ci/p/45761",https://www.facebook.com/84712514466/posts/10159900771419467/,130129002022,84712514466,8.53,51217,GEORGIA,581
7/13/21,Cecil County Public Schools,Photo,688,51,518,96,4,1,6,0,10,2,"Due to interest in participation and the potential for a larger audience than usual, the July 14 Board of Education meeting will now be held at Elkton High School and the public comment portion of the agenda has been modified to accommodate the anticipated number of speakers. PLEASE NOTE: Critical Race Theory is NOT taught in CCPS. CCPS curriculum development is guided by the Maryland College & Career Readiness Standards and developed at the local level. The issue relating to transgender students is a federal directive that has been upheld following a ruling by the United States Court of Appeals for the Fourth Circuit, which schools systems are required to follow. Agenda: https://www.ccps.org/cms/lib/MD01906418/Centricity/ModuleInstance/90/BOE%20agenda%2007%2014%2021.updated.pdf",https://www.facebook.com/152424804952121/posts/1701338380060748/,2400240,152425000000000,7.82,20035,MARYLAND,14718
7/26/21,Springboro Schools,Photo,676,165,329,55,80,6,4,2,35,0,"To our Springboro Families, Springboro Schools would like to address the recent questions and concerns that have been shared by parents and community members regarding Critical Race Theory (CRT) and if CRT is being considered for this district’s curriculum. Additionally, we would like to clarify the purpose of the Superintendent’s Diversity & Inclusion (D&I) Committee. Springboro Schools has not and will not support or implement CRT into our curriculum at any grade level. Additionally, our curriculum will not include the following topics that are sometimes associated with CRT: • Teaching from a perspective that the United States and/or its legal system is systematically racist and designed to create and maintain inequalities between genders, ethnicities, different religious heritages, or races • Teaching that socialism and communism are morally superior to democracy, capitalism, and a free market economy • That any gender, ethnicity, religious heritage, or race should feel superior or inferior • That one should feel guilt or shame due to their ethnicity, religious heritage, race, or gender Springboro Schools follows the Ohio Department of Education’s (ODE) Learning Standards. Those standards for social studies were reviewed and adopted in 2018, and do not include CRT. As standards are updated and released, the Superintendent will make recommendations to the Board of Education on whether or not to adopt them. Springboro Schools would not recommend the support of the aforementioned curriculum items that are outlined above. To view ODE’s current standards for social studies, as well as all other subject areas, please visit - http://education.ohio.gov/Topics/Learning-in-Ohio/OLS-Graphic-Sections/Learning-Standards.:=:http://education.ohio.gov/CMSMessages/PageNotFound.aspx?aspxerrorpath=/Topics/Learning-in-Ohio/OLS-Graphic-Sections/Learning-Standards. The D&I Committee’s focus is on improving the learning environment within Springboro Schools, in order to ensure that every student, regardless of ethnicity, religious heritage, gender, or race, feels welcome, safe, and ready to learn. The D&I Committee is not responsible for the district’s curriculum, nor does it have the authority to implement any changes to it; only the Superintendent and the Board of Education hold that authority. Report-outs and recommendations from the D&I Committee will continue to be public and are still subject to approval by the Superintendent and Board of Education. This is consistent with all other Superintendent committees. Springboro Schools is committed to maintaining our excellent curriculum, which is the educational foundation of countless Springboro graduates who have gone on to enjoy success in numerous pursuits such as college, vocational school, military service, and skilled trades. We will also strive to continuously improve our environment and student experience so that every student is able to feel welcome and safe. Thank you, Larry Hook, Superintendent Springboro Schools",https://www.facebook.com/504538452950355/posts/5685697064834442/,3905042,504538000000000,7.43,6781,OHIO,6167
7/12/21,Downingtown Area School District,Photo,584,198,246,45,87,0,2,0,4,2,"Understanding that there may be some confusion in our community, please review the following for clarification regarding how diversity, equity and inclusion work supports students and staff in DASD. To learn more, visit www.dasd.org/diversity.:=:https://www.dasd.org/errors/404.aspx?aspxerrorpath=/diversity.",https://www.facebook.com/148341361326/posts/10159137801356327/,4207710,148341000000,4.67,11893,PENNSYLVANIA,12909
10/27/21,Parma City School District,Photo,563,99,394,43,19,1,3,2,2,0,"Clarification of Board Members' Position on Critical Race Theory A recent news article seemingly indicated that four of our current Board of Education members, Cyndee Bratz, Amanda Karpus, John Schweitzer, and Steve Vaughn, support the teaching of Critical Race Theory (CRT) in our schools. This notion is not at all accurate. We have clearly and succinctly addressed CRT on multiple occasions at our Board meetings: we do not teach, nor do we have any plans to teach CRT in our schools. Our curricula are publicly adopted documents that are accessible through a public records request. Further, our course registration guide is available at https://www.parmacityschools.org/Page/1330.:=:https://www.parmacityschools.org/errors/404.aspx?aspxerrorpath=/Page/1330. None of these contain any reference to CRT. It simply is not, nor will be, present in the Parma City School District. Charlie",https://www.facebook.com/147644668603762/posts/4787297001305149/,3904463,147645000000000,9.23,12158,OHIO,9318
9/8/21,Farmington Municipal Schools,Status,450,214,74,77,73,1,1,1,3,6,"From Superintendent Dr. Eugene Schmidt – Farmington Municipal Schools (FMS) is aware of the conversations at the federal, state and local level about Critical Race Theory (CRT). FMS does not provide instruction on Critical Race Theory and the School Board does not intend to bring forth any action to introduce CRT to our schools. Read more: https://bit.ly/3DVhvKd:=:https://district.fms.k12.nm.us/about_us/news/superintendent_messages",https://www.facebook.com/234050013364205/posts/3640499356052570/,3500990,234050000000000,6.43,10038,NEW MEXICO,10768
7/9/21,Vail School District,Photo,295,143,56,35,56,0,0,2,2,1,The Vail School District strictly follows the Arizona State Standards and adheres to the tried and true teaching methods that have led us to become one of the top performing school districts in Arizona. Critical Race Theory has recently become a hot topic around education. No member of the VUSD Governing Board or administration have recommended using CRT or any other alternate method of instruction in our schools – and there is no intent to do so in the future. Vail's instructional model works – and has proven to provide our students with the strongest possible foundation to be successful after high school.,https://www.facebook.com/260938799131/posts/10158678253189132/,0408850,260939000000,3.6,8756,ARIZONA,13642
