page_name,user_name,facebook_id,page_category,page_admin_top_country,page_description,page_created,likes_at_posting,followers_at_posting,post_created,post_created_date,post_created_time,type,total_interactions,likes,comments,shares,love,wow,haha,sad,angry,care,video_share_status,is_video_owner,post_views,total_views,total_views_for_all_crossposts,video_length,url,message,link,final_link,image_text,link_text,description,sponsor_id,sponsor_name,sponsor_category,overperforming_score_weighted_likes_1x_shares_1x_comments_1x_love_1x_wow_1x_haha_1x_sad_1x_angry_1x_care_1x,group_name,date_r
NA,NA,575751366423531,none,NA,NA,NA,27722,NA,2021-08-12T18:39:31Z,2021-08-12,18:39:31,Photo,5,0,0,0,5,0,0,0,0,0,NA,-,0,0,0,N/A,https://www.facebook.com/groups/575751366423531/permalink/806064816725517,Aganme poppu🥺❤️ Dale ❤️ COMENTAlA 👉🤳💦👈,https://www.facebook.com/photo.php?fbid=585336122852346&set=gm.806064816725517&type=3,NA,NA,Photos from Erika Crt's post,NA,NA,NA,NA,-6,🇲🇽Poopuulaarees🇲🇽,2021-08-13T00:00:00Z
"Ministerul Afacerilor Interne, Romania",ministeruldeinterne,100069007606112,PERSON,RO,Bine ati venit pe pagina oficială de Facebook a Ministerului Afacerilor Interne,2013-01-14T13:01:36Z,738616,870281,2021-06-18T06:41:20Z,2021-06-18,06:41:20,Photo,301,187,39,23,1,2,34,7,6,2,NA,-,0,0,0,N/A,https://www.facebook.com/438338142903249/posts/5604335849636760,"Până astăzi, 18 iunie, pe teritoriul României, au fost confirmate 1.080.140 de cazuri de persoane infectate cu noul coronavirus (COVID – 19). 1.044.919 pacienți au fost declarați vindecați. În urma testelor efectuate la nivel național, față de ultima raportare, au fost înregistrate 70 cazuri noi de persoane infectate cu SARS – CoV – 2 (COVID – 19), acestea fiind cazuri care nu au mai avut anterior un test pozitiv. Distribuția pe județe a cazurilor per total și a celor noi o regăsiți în tabelul de mai jos. Nr. crt. Județ Număr de cazuri confirmate(total) Număr de cazuri nou confirmate Incidența înregistrată la 14 zile 1. Alba 21263 1 0,19 2. Arad 23660 2 0,11 3. Argeș 27425 1 0,13 4. Bacău 26056 2 0,04 5. Bihor 29281 4 0,1 6. Bistrița-Năsăud 11870 0 0,05 7. Botoșani 14175 1 0,06 8. Brașov 43673 0 0,08 9. Brăila 13291 0 0,06 10. Buzău 12581 2 0,11 11. Caraș-Severin 11478 2 0,05 12. Călărași 10056 2 0,11 13. Cluj 57541 5 0,07 14. Constanța 42945 1 0,1 15. Covasna 8555 3 0,06 16. Dâmbovița 22497 3 0,08 17. Dolj 26646 13 0,08 18. Galați 27635 3 0,04 19. Giurgiu 11017 0 0,02 20. Gorj 9207 1 0,07 21. Harghita 8282 0 0,02 22. Hunedoara 22864 0 0,11 23. Ialomița 10786 0 0,06 24. Iași 42394 3 0,09 25. Ilfov 45094 10 0,06 26. Maramureș 20393 0 0,05 27. Mehedinți 8336 1 0,09 28. Mureș 23961 5 0,1 29. Neamț 18961 1 0,06 30. Olt 14608 3 0,17 31. Prahova 35351 5 0,05 32. Satu Mare 12989 1 0,08 33. Sălaj 10942 0 0,07 34. Sibiu 26494 0 0,05 35. Suceava 24207 4 0,12 36. Teleorman 13712 0 0,08 37. Timiș 54322 1 0,03 38. Tulcea 8434 0 0,06 39. Vaslui 15980 1 0,09 40. Vâlcea 16434 0 0,05 41. Vrancea 10691 0 0,11 42. Mun. București 183619 4 0,05 43. Cazuri noi nealocate pe județe 434* -15 TOTAL 1.080.140 70 *Referitor la „cazurile noi nealocate pe județe”, facem precizarea că numărul acestora este determinat de modificările aduse platformei electronice prin care sunt raportate și centralizate rezultatele testelor pentru noul coronavirus. Astfel, conform noii metodologii, centrele de testare introduc în mod direct rezultatele testelor realizate, urmând ca de la nivelul Direcțiilor de Sănătate Publică să fie realizată ancheta epidemiologică și atribuite cazurile pozitive județului/localității de care aparțin persoanele infectate. Coeficientul infectărilor cumulate la 14 zile, raportate la 1.000 de locuitori este calculat de către Direcțiile de Sănătate Publică, la nivelul Municipiului București și al județelor. Mai jos aveți graficul realizat în baza raportărilor primite de CNCCI de la Direcțiile de Sănătate Publică: Distinct de cazurile nou confirmate, în urma retestării pacienților care erau deja pozitivi, 35 de persoane au fost reconfirmate pozitiv. Distribuția pe județe a acestor cazuri o regăsiți în tabelul de mai jos. Nr. Crt. JUDEȚ Probe pozitive la retestare 1 ALBA 2 2 ARAD 0 3 ARGEŞ 4 4 BACĂU 0 5 BIHOR 0 6 BISTRIŢA-NĂSĂUD 0 7 BOTOŞANI 0 8 BRĂILA 0 9 BRAŞOV 1 10 BUZĂU 2 11 CĂLĂRAŞI 0 12 CARAŞ-SEVERIN 1 13 CLUJ 2 14 CONSTANŢA 0 15 COVASNA 0 16 DÂMBOVIŢA 0 17 DOLJ 0 18 GALAŢI 2 19 GIURGIU 0 20 GORJ 0 21 HARGHITA 0 22 HUNEDOARA 1 23 IALOMIŢA 0 24 IAŞI 0 25 ILFOV 2 26 MARAMUREŞ 0 27 MEHEDINŢI 0 28 MUNICIPIUL BUCUREŞTI 4 29 MUREŞ 0 30 NEAMŢ 2 31 OLT 0 32 PRAHOVA 4 33 SĂLAJ 1 34 SATU MARE 3 35 SIBIU 2 36 SUCEAVA 1 37 TELEORMAN 0 38 TIMIŞ 0 39 TULCEA 0 40 VÂLCEA 0 41 VASLUI 1 42 VRANCEA 0 Total 35 Până astăzi, 32.212 persoane diagnosticate cu infecție cu SARS – CoV – 2 au decedat. În intervalul 17.06.2021 (10:00) – 18.06.2021 (10:00) au fost raportate de către INSP 97 de decese (62 bărbați și 35 femei), ale unor pacienți infectați cu noul coronavirus, internați în spitalele din Argeș, Bistrița-Năsăud, Buzău, Dolj, Galați, Hunedoara, Iași, Sălaj, Sibiu, Vaslui, Vrancea, Ilfov și Municipiul București. 91 dintre aceste decese sunt anterioare intervalului mai sus menționat și au fost introduse în baza de date, la solicitarea Ministerului Sănătății, de către Direcțiile de Sănătate Publică din țară, în urma verificărilor efectuate. Astfel, 5 dintre acestea s-au produs în luna octombrie 2020, 12 în noiembrie 2020, 19 în decembrie 2020, 20 în ianuarie 2021, 8 în februarie, 14 în martie 2021, și 13 în aprilie 2021, în județele Argeș, Bistrița-Năsăud, Dolj, Galați, Hunedoara, Ilfov și Municipiul București. Dintre cele 97 de decese, 1 a fost înregistrat la categoria de vârstă 30-39 de ani, 2 la categoria de vârstă 40-49 de ani, 8 la categoria de vârstă 50-59 de ani, 19 decese la categoria de vârstă 60-69 ani, 30 decese la categoria de vârstă 70-79 ani și 37 decese la categoria de vârstă peste 80 ani. 88 dintre decesele înregistrate sunt ale unor pacienți care au prezentat comorbidități, iar 9 pacienți decedați nu au prezentat comorbidități. În unitățile sanitare de profil, numărul total de persoane internate cu COVID-19 este de 887. Dintre acestea, 181 sunt internate la ATI. Până la această dată, la nivel național, au fost prelucrate 8.188.728 de teste RT-PCR și 1.335.929 de teste rapide antigenice. În ultimele 24 de ore au (truncated)",https://www.facebook.com/ministeruldeinterne/photos/a.439151032821960/5604333719636973/?type=3,NA,IUNIE 18 INFORMARE ORA 13.00 CONFIRMAȚI +70 1.080.140 VINDECAȚI +146 1.044.919 DECESE +97(91*) 32.212 TESTE +32.203 9.524.657 #COVID-19 (CORONAVIRUS) IZOLAȚI 3.775 CARANTINAȚI 22.135 APELURI 112 în ultimee24 ore 304 TELVERDE în ultimele 24ore 24 531 *Decese mai vechi introduse în baza de datela solicitarea Ministerului Sănătății INFORMAȚI-VĂ DOAR DIN SURSE OFICIALE! RESPECTAȚI RECOMANDARILE AUTORITĂȚILOR COMPETENTE! CUVERNUL GRUPUL DE COMUNICARE STRATEGICĂ,NA,NA,NA,NA,NA,-3.01,NA,2021-06-18T00:00:00Z
NA,NA,380022932353899,none,NA,NA,NA,1766,NA,2020-02-17T03:21:49Z,2020-02-17,03:21:49,Photo,2,2,0,0,0,0,0,0,0,0,NA,-,0,0,0,N/A,https://www.facebook.com/groups/380022932353899/permalink/1030580717298114,NA,https://www.facebook.com/Aurum.uno/photos/a.2206279039607345/2571772549724657/?type=3,NA,NA,아우름 헬스케어,"무브먼트 CRT 핑거 스펙

""여러 도구를 번갈아 사용하는
근막이완작업 빠르고 효율적으로 하고 싶으신가요?""

▫️국소부위에 가장 효율적인 모델
▫️밀리지 않는 치밀화 구간에 깊숙이
▫️자유로운 방향성으로 표면 손상 없이

도구와 형태에 얽매이지 않는 CRT핑거는
근막이완 제공자의 편의성이 높아집니다!

""안전한 스포츠 활동 파트너"" 아우름 헬스케어

http://naver.me/xC8S8HlH",NA,NA,NA,-0.33,Fitness Equipment,2020-02-17T00:00:00Z
Founders Keep,NA,791448630944580,none,NA,NA,NA,11880,NA,2020-10-07T03:26:56Z,2020-10-07,03:26:56,Native Video,11,5,1,3,1,0,0,1,0,0,share,No,0,0,0,00:07:03,https://www.facebook.com/groups/791448630944580/permalink/3376262972463120,NA,NA,NA,NA,This is a re-share of a post,"If you watch one video today, make it this one. CRT is a dangerous, radical ideology that will destroy America if we don't destroy it first.",NA,NA,NA,-3.45,NA,2020-10-07T00:00:00Z
GraniteGrok - Group,NA,2489021178051721,none,NA,NA,NA,2244,NA,2020-10-08T15:17:18Z,2020-10-08,15:17:18,YouTube,0,0,0,0,0,0,0,0,0,0,NA,-,0,0,0,N/A,https://www.facebook.com/groups/2489021178051721/permalink/2901352143485287,"This is Liz Wheeler, she does a great job explaining Critical Race Theory.",https://www.youtube.com/watch?v=oPhtgbIs6AY&feature=share,NA,NA,Critical race theory is an attack on America - YouTube,The purpose of critical race theory is to delegitimize the United States of America so that socialists feel justified in tearing down our system of governmen...,NA,NA,NA,-38,NA,2020-10-09T00:00:00Z
Whole About Kashmir,wakashmir,856747037832711,SOCIAL_SERVICES,IN,The nature of kashmir...and the beaty of kashmir ...more over the latest updates about kashmir,2017-11-05T15:56:13Z,NA,NA,2020-12-24T11:06:22Z,2020-12-24,11:06:22,Photo,2,2,0,0,0,0,0,0,0,0,NA,-,0,0,0,N/A,https://www.facebook.com/856747037832711/posts/1725211854319554,"Stanford University enlists Kashmiri among top 2 percent scientists in world Available to contribute towards improving quality education in J&K: Dr M Iqbal Khan Jahangeer Ganaie Srinagar, Dec 24: A scientist from Srinagar presently working as Professor in the Department of Civil engineering at King Saud University has brought laurels to Kashmir as he has earned a very rare honour of figuring in top 2 per cent scientists in the world. Professor Mohammad Iqbal Khan a resident of Khan Mohalla, Chanapora, Srinagar an alumnus of NIT Srinagar and IIT Delhi who has earned his PhD degree in Structural Engineering from the University of Sheffield United Kingdom has been listed among two per cent scientists by Stanford University, one of the world's most prestigious Institutions based on the international evaluation of their research work. Dr Khan is faculty of University of Nottingham, UK, currently, working as Professor in the Department of Civil Engineering at King Saud University. He is an Adjunct Professor, at Department of Civil, Architecture and Environmental Engineering, Missouri University of Science and Technology, Rolla, USA and enrolled as visiting Professor at numerous universities in Canada, China and Germany. Concurrently, Prof. Khan currently holds many key positions in vital state-run R&D establishments viz. Managing Director, Center of Excellence for Concrete Research and Testing (CoE-CRT); Director, Laboratories of Structural Engineering Division in the Kingdom of Saudi Arabia. Prof. Khan is actively engaged in research in structural engineering and construction materials. His primary research interests are developing blast and impact-resistant materials; structural behaviour of concrete-filled tubes; nano- and micro-mechanics of composite materials; fibre-reinforced composites; sustainability and environmental impact; prediction modelling; and application of artificial intelligence. He has published well over 200 research publications, holds 21 inte",https://www.facebook.com/wakashmir/photos/a.856751967832218/1725211807652892/?type=3,NA,NA,NA,NA,NA,NA,NA,-19.5,NA,2020-12-24T00:00:00Z
NA,DailyWire,1435071773455316,MEDIA_NEWS_COMPANY,US,"The Daily Wire is a politically conservative news and entertainment company and the top news publisher on Facebook. Home to podcasts by Candace Owens, Andrew Klavan, Michael Knowles, Matt Walsh, and Editor Emeritus Ben Shapiro.",2015-04-22T23:14:38Z,2334381,3075670,2021-07-07T21:07:29Z,2021-07-07,21:07:29,Native Video,320,125,51,40,0,5,2,2,94,1,crosspost,No,9581,9622,60657,00:04:45,https://www.facebook.com/1435071773455316/posts/2916667795295699,"A U.S. Air Force Academy professor who teaches Critical Race Theory (CRT) to cadets preached in The Washington Post that George Washington was a racist, the United States was founded partly on “inequality, inegalitarianism and second-class citizenship,” and “racism was ingrained in the system from the beginning, and the military still struggles with these issues.” Shapiro weighs in.",https://www.facebook.com/DailyWire/videos/246739253608354/,NA,NA,Shapiro LEVELS Air Force Academy Prof Teaching CRT To Cadets,NA,NA,NA,NA,-3.83,Daily Wire,2021-07-08T00:00:00Z
NA,NA,130337533700973,ELECTRONICS_STORE,PH,"CONTACT US
0917 540 8463 Globe Viber Whatsapp Wechat
0922 844 2299 Sun
0999 999 7290 Smart

LANDLINE 
02 7215 9593 / 02 8806 2290
02 8736 5001/02/04

Email: bikongong@yahoo.com",2011-02-21T08:09:10Z,28922,29841,2021-07-09T07:02:00Z,2021-07-09,07:02:00,Photo,14,12,2,0,0,0,0,0,0,0,NA,-,0,0,0,N/A,https://www.facebook.com/130337533700973/posts/3979855245415830,NA,https://www.facebook.com/photo.php?fbid=117800890551969&set=p.117800890551969&type=3,NA,NA,Alfredo,"👉🏻 SOLD to BAGONG SILANG CAL CITY

videoke vip 12x4
PLATINUM REYNA 3C v1.5
konzert speaker sg12 
konzert amplifier av502
tv 📺 21” crt type japan
2 wired mic 🎤 
1 free extra 10meters cord

MARAMING SALAMAT PO🙏🙏🙏",NA,NA,NA,-2.64,BerklyN Electronic Supplies and Services Manila,2021-07-09T00:00:00Z
NA,NA,2158017324472176,none,NA,NA,NA,15405,NA,2021-03-22T08:05:11Z,2021-03-22,08:05:11,Live Video Complete,0,0,0,0,0,0,0,0,0,0,share,No,0,0,0,01:04:47,https://www.facebook.com/groups/2158017324472176/permalink/2857588061181762,NA,https://www.facebook.com/thuha.ho.98/videos/1913630862109342/,NA,NA,Thu Hà,"xả nhanh 1 tiếng
len 500
phao
baggy
quần tt
jean ôm
crt",NA,NA,NA,-16,Osaka-Baito,2021-03-22T00:00:00Z
NA,NA,100044296156545,PERSONAL_BLOG,MM,ပဋ္ဌာန်း တရားတော်နှင့် ပတ်သက်သော သိ?,2017-03-19T05:17:18Z,77861,78780,2020-01-15T02:37:54Z,2020-01-15,02:37:54,Photo,327,210,5,98,14,0,0,0,0,0,NA,-,0,0,0,N/A,https://www.facebook.com/1880023972286838/posts/2616687058620522,* ပဋ္ဌာန်းရွတ်ရင် သောကများရပါသလား။ ၁. အမေး ( ခင်ဝင်းသိန်း) - ဆရာ ကျမပဋ္ဌာန်းကိုရွတ်လာတာ အတော်ကြာပါပြီ။ လက်ရှိအချိန်မှာ ဘဝအတွက် အခက်အခဲတွေဖြစ်နေလို့ သောကတွေများနေရပါတယ်။ - မနေ.က...ကျမအတွေးမှာ ပဋ္ဌာန်းရွတ်ရင် သောကများရတယ်လို့ ပြောနေကြ တာကို ရုတ်တရက် အတွေးကရောက်သွားပြီး၊ သတိယလို့ တွေးမိတာကိုပင် အလွန်ကြောက်သွားပြီး အတွေးကို ရပ်လိုက်မိပါတယ်။ - ကျမကို လမ်းပြပေးပါအုံး ဆရာ။ ၂. မရေးချင်တော့။ - ကျနော်အနေဖြင့် အတော်များများရှင်းခဲ့ ရေးခဲ့ပြီးဖြစ်ပါတယ်။ ဂိုဏ်းတစ်ခု ကိုဖြစ်စေ၊ တစ်ဦးတစ်ယောက်ကိုဖြစ်စေ တိုက်ခိုက် ပြစ်တင်တာမျိုး ဖြစ်မှာစိုး၍ မရေးတော့ဘူးလို့ ဆုံးဖြတ်ထားပါတယ်။ - တရားဆိုတာက ပြစ်တင်ဖို့မဟုတ်ဘူး၊ အကြောင်းနဲ့အကျိုးကိုသာ ရေးရတာမို့၊ ကိုယ့်အပိုင်းသာ ကိုယ်သိသမျှ ရေးမယ်လို့ ဆုံးဖြတ်ခဲ့ခြင်းဖြစ်ပါတယ်။ # ခုတော့ မေးလာသူကရှိလို. မေးသူ၏ဆန္ဒကို လေးစားသောအားဖြင့် သိစေ ရှင်းစေလိုသော စေတနာဖြင့် ရေးလိုက်ရပါတယ်။ ၃. နှစ်ပိုင်း ဖြေပါမယ်။ - တစ်ပိုင်းက သောကဆိုတာ ဘာလဲ၊ ဘာဖြစ်လို့ သောက က ဖြစ်လာရတာလဲ။ - ဒုတိယပိုင်းက ပဋ္ဌာန်းတရားတော်ဖြစ်ပါတယ်။ ၄. သောက။ (က) သောကဆိုတာ။ - သောကဆိုတာ ဒေါသအနွယ်ဝင်ပါ။ - ဒေါသဆိုတာ စိုးရိမ်၊ ပူပန်၊ ငိုကြွေး၊ မကျေလည်၊ မကျေနပ်၊ မနှစ်သက်တာတွေ ပဲ ဖြစ်ပါတယ်။ (ခ) သောက က ဘာဖြစ်လို့ ရရတာလဲ။ - အတိုချုပ်ဖြေရရင် သောကဆိုတာ ကိုယ်ကယူလိုက်လို့ ရတာဖြစ်ပါတယ်။ ကိုယ်ကမယူရင် မရနိုင်ပါဘူး။ (ဂ) ဘယ်လိုယူလိုက်တာလဲ။ - စိတ်သဘောထားမကြီးလို့၊ ထိလွယ် ရှလွယ်ဖြစ်ပြီး အလိုလို ရယူလျှက်သား ဖြစ်သွားရပါတယ်။ (ဃ) ပြောင်းပြန်အချိုး ကျတယ်။ - စိတ်သဘောထား ကြီးမား မြင့်မားလေလေ သောက က နည်းလာလေလေ ဖြစ်တယ်။ အမြင့်ဆုံးဖြစ်တဲ့ ဘုရား ရဟန္တာတွေမှာ သောကဆိုတာ မရှိတော့ ပါဘူး။ - စိတ်သဘောထား သေးငယ် နိမ့်ပါးလာသည်နှင့် သောက က ပိုမိုများပြား လာပါတော့တယ်။ - အကြောင်းအရာတစ်ခုအပေါ်မှာ ထိလွယ်ရှလွယ် ဖြစ်နေတတ်လို့ပါဘဲ။ # ဥပမာ ၁။ - သူဋ္ဌေးတစ်ယောက်က အလုပ်သမားအားလုံးကို ခေါ်ပြီး ပြင်းပြင်းထန်ထန် ဆူပူကြိမ်းမောင်းတဲ့အခါ - အလုပ်သမားတစ်ယေက်က သူဋ္ဌေးကို သတ်ချင်စိတ်ပေါက်တယ်၊ တစ်ယောက် က ချောင်းရိုက်ချင်တယ်၊ တစ်ယောက်က မခံချိမခံသာဖြစ်နေတယ်၊ တစ်ယောက်က သူကသူဋ္ဌေးပဲ ပြောပေါ့လို့ ရင်ထဲမှာ ဘာမှမထားဘူး။ - ကိုယ်ဘယ်လို နှလုံးသွင်းလဲဆိုတဲ့အပေါ်မူတည်ပြီး မတူညီတဲ့ သောကအဆင့် တွေ ဖြစ်ကြရတယ်။ # ဥပမာ ၂။ - အိမ်မှာ မိသားစုဝင် တစ်ယောက်ဆုံးပါးတယ်။ - ကျန်မိသားစုဝင်များ ခံစားရတဲ့သောက က တစ်ယောက်နဲ့တစ်ယောက် မတူကြဘူး။ # ဥပမာ ၃။ - ဘုရားရှင်ကို လာဆဲတယ်။ ဘုရားရှင်က လက်မခံလို့ ဘာမှမရပါဘူးတဲ့။ ၅. ပဋ္ဌာန်းတရားတော်ကြီး။ (က) တရားတော်ကြီး။ - ပဋ္ဌာန်းတရားတော်ကြီးဟာ နက်နဲခက်ခဲလွန်း၊ မြင့်မြတ်လွန်းပြီး သဘာဝတရား သက်သက်ကို မချွင်းမချန်ဟောကြားထားတာ အားလုံးအသိပင်ဖြစ်ပေသည်။ ဒုက္ခတွေပေးတဲ့စကား တစ်လုံးပင်မပါချေ။ - ဒုက္ခပေးသောတရားကို မြတ်စွာဘုရားက တစ်လုံးပင်မဟောပေ။ (ခ) တစ်ပိုဒ်ကပင်။ - ဟေတုတစ်ပိုဒ်ကိုပင် အနက်ဖြင့် ပီပီသသ တစ်လုံးချင်း ရွတ်ဆိုကြည့်ပါ။ - ဝမ်းသာ ပီတိဖြစ်၍ စိတ်သည်ငြိမ်သက်လာပြီး သမာဓိ ချက်ချင်းလက်ငင်း ဖြစ်လာသည်ကို တွေ့မြင်နိုင်ရပေသည်။ ဥာဏ်စဉ်များလည်း တက်လာရ ပေသည်။ (ဂ) စိတ်ပြန်.လွင်နေရင်။ - အလွတ်ရလို့ အမြန်ရွတ်ပြီး စိတ်က ပြန်.လွင့်နေလျှင်မူ သောကဝင်လာနိုင် ပေသည်။ ၆. မေးမြန်းသူသို့။ (က) မယုံကြည်ပါနှင့်။ - သူများပြောတိုင်း မယုံကြည်လိုက်ပါနှင့် ဓမ္မအန္တရာယ် ရှိနိုင်သဖြင့် အလွန် ကြောက်စရာ ကောင်းလှပေသည်။ (ခ) လောဏကပလ္လသုတ်( ဆားခွက်ဥပမာ) - ရေခွက်တစ်ခုထဲသို့ ဆားထဲ့လိုက်ရင် အလွန်ငံသွားလို့ သောက်မရပေမဲ့၊ မြစ်ထဲ့သို. သွန်လိုက်လျှင် အငံမဖြစ်နိုင်တော့ပေဟု မြတ်ဗုဒ္ဓက ဟောကြားထား ပါတယ်။ - ကုသိုလ်များများပြုနေသူထံ အကုသိုလ်မဝင်ရောက်နိုင်ဟု ဟောကြားထားခြင်း ဖြစ်ပေသည်။ (ဂ) ပြောသင့်တာတစ်ခု။ - ပဋ္ဌာန်းတရားရွတ်သည့်အခါ နတ်ဆိုးများက မနှစ်သက်၍ နှောက်ယှက်နိုင် သည်ဟူသောစကားကိုမူ ဆိုနိုင်ပေသေးသည်။ သို.သော် ရွတ်သူတိုင်း မဖြစ်နိုင်ပေ။ - အများမှ တစ်ယောက်သာ ဖြစ်ဖွယ်ရှိပေသည်။ (ဃ) မပြောသင့်။ - ပဋ္ဌာန်းရွတ်ရင် သောကဖြစ်သည်ဟူသောစကား မဆိုသင့်ပေ။ မိစ္ဆာဒိဋ္ဌိအယူဖြစ် သည်ဟု ဟောကြားထားပေသည်။အထူးရှောင်ရှားရန် တိုက်တွန်းလိုက် ရပေသည်။ # ပြောလိုသူများ ပြောကြပါစေ၊ ဝင်မပါလိုက်ပါနှင့်။ တရားအသိများ ရရှိပါစေ။ Crt :သန်းဝင်း,https://www.facebook.com/1880023972286838/photos/a.1884763171812918/2616687031953858/?type=3,NA,NA,NA,NA,NA,NA,NA,4.95,ပ႒ာန္း မိတ္ေဆြ တစ္ဦး,2020-01-15T00:00:00Z
