page_name,user_name,facebook_id,page_category,page_admin_top_country,page_description,page_created,likes_at_posting,followers_at_posting,post_created,post_created_date,post_created_time,type,total_interactions,likes,comments,shares,love,wow,haha,sad,angry,care,video_share_status,is_video_owner,post_views,total_views,total_views_for_all_crossposts,video_length,url,message,link,final_link,image_text,link_text,description,sponsor_id,sponsor_name,sponsor_category,overperforming_score_weighted_likes_1x_shares_1x_comments_1x_love_1x_wow_1x_haha_1x_sad_1x_angry_1x_care_1x,message_contains_crt,message_contains_critical_race_theory
Shelby County Schools - SCS,ShelbyCountySchools,444691422278634,SCHOOL,US,"Welcome to the official page of Shelby County Schools. SCS educates more than 110,000 students, making it the largest public school system in Tennessee.",2013-04-17T20:39:43Z,51652,58056,2021-12-15 12:27:26 EST,2021-12-15,12:27:26,Photo,9,4,0,2,3,0,0,0,0,0,NA,-,0,0,0,N/A,https://www.facebook.com/444691422278634/posts/4540087062739029,"LEARNING + WATCHING fun content = WINNING Congratulations to the week 3 winners (12/05- 12/12) of our Home Engagement Incentive Program! 📘 PreK – Myron N. – Covington Pike Headstart 📘 Kindergarten – John N. – Raleigh Bartlett Meadows ES 📘 First Grade – Kaleb R. – Willow Oaks ES 📘 Second Grade – Ethan J. – Richland ES 📘 Third Grade – Ashley P. – South Park ES We want you to continue to engage and learn during the Winter Break! Don't forget there will be GRAND PRIZES for the most engagement from a student, the most engaged school, and the most engaged classroom! Winners who watched at least 100 minutes of content last week were randomly selected from a pool and can pick up prizes at their schools. Continue to WATCH, LEARN & PLAY to possibly see your name next week!! For more information visit, www.scsk12.org/literacyathome/:=:http://www.scsk12.org/literacyathome/ #Commit2Literacy",https://www.facebook.com/ShelbyCountySchools/photos/a.474721269275649/4540043449410057/?type=3,NA,COUNTY CRT SCS HOME CALS ENGAGEMENT Ereetlence INCENTIVE PROGRAM Cool characters music+ literacy prizes FUN! The winners for the week of 12/05-12/12: Prek Myron N. Covington Pike Headstart Kindergarten -John N. -Raleigh Bartlett Meadows ES First Grade- -Kaleb R. Willow Oaks ES Second Grade Ethan Richland ES Third Grade Ashley P.- -South Park ES Visit scsk12.org/literacyathome to learn how to participate,NA,NA,NA,NA,NA,-7.11,FALSE,FALSE
"Union Public Schools - Tulsa, OK",UnionSchools,177939366689,PUBLIC_SCHOOL,US,"Education Service Center Address
8506 E. 61st Street-
Tulsa, OK 74133-1926

Union Enrollment Center
6011 S. 89 E. Ave
Tulsa, OK
",2009-10-08T03:50:56Z,17949,18252,2021-12-14 08:48:31 EST,2021-12-14,08:48:31,Link,122,62,8,3,46,0,0,0,2,1,NA,-,0,0,0,N/A,https://www.facebook.com/177939366689/posts/10159368295096690,"Union Public Schools adopts diversity, equity and inclusion policy Citing increasing diversity among the student body, Union Public Schools’ Board of Education unanimously adopted a new district-wide diversity, equity and inclusion policy Monday night. As approved, the new policy states that the district appreciates diversity of thought, values, perspectives and personhood and is “committed to procedures intended to support a diverse and equitable school community in an inclusive manner.” While presenting it to the school board Monday night, Superintendent Kirt Hartzler said the new policy is not an attempt to subvert state laws or introduce critical race theory into the classroom but is instead an affirmation of the district’s core values. “I don’t know why we wouldn’t want to consider this,” he said, noting that more than 60 languages are spoken by Union students. Continue: https://tulsaworld.com/news/local/education/union-public-schools-adopts-diversity-equity-and-inclusion-policy/article_09cd47a2-5c31-11ec-99cd-77a6acf22eca.html",https://tulsaworld.com/news/local/education/union-public-schools-adopts-diversity-equity-and-inclusion-policy/article_09cd47a2-5c31-11ec-99cd-77a6acf22eca.html,NA,NA,"Union Public Schools adopts diversity, equity and inclusion policy","Citing increasing diversity among the student body, Union's school board unanimously adopted a new district-wide diversity, equity and inclusion policy Monday night.",NA,NA,NA,3.13,FALSE,TRUE
Southwest Livingston Co. R1 School,NA,1391786407715412,HIGH_SCHOOL,NA,"Southwest Livingston Co. R1 School District, Ludlow, Missouri, serves the communities of Dawn, Utica, Mooresville and Ludlow.",2013-08-23T02:26:40Z,1071,1119,2021-11-21 20:42:52 EST,2021-11-21,20:42:52,Photo,43,25,0,11,7,0,0,0,0,0,NA,-,0,0,0,N/A,https://www.facebook.com/1391786407715412/posts/3406964582864241,Thank you alumni Zack Craft for the photo❣️💙🐾🤍 Check out section 110 by Gate C.,https://www.facebook.com/1391786407715412/photos/a.1431087423785310/3406963759530990/?type=3,NA,"8 MAN STATE CHAMPIONS SOUTHWEST (LIVINGSTON COUNTY) WITH HALE, TINA- AVALON, MO 12-1 CRT HEAD COACH ISTAN COACHES ROSTER WERLEYHUGNES",NA,NA,NA,NA,NA,1,FALSE,FALSE
Purpose Preparatory Academy,PurposePreparatoryAcademy,334507036580879,ELEMENTARY_SCHOOL,US,"Purpose Prep is an elementary (K-4) charter school in North Nashville, TN committed to equality of education and providing quality instruction to Nashville's young scholars, preparing them for excellence and future leadership.",2012-01-29T18:53:56Z,1891,1988,2021-11-16 20:07:48 EST,2021-11-16,20:07:48,Photo,5,3,0,0,2,0,0,0,0,0,NA,-,0,0,0,N/A,https://www.facebook.com/334507036580879/posts/4704762289555310,"#Repost @risestrategygroup ・・・ ""The First Amendment is America, and so is the Trail of Tears — which forcibly displaced the Indigenous People from their land in the name of expansion. The Civil Rights Act of 1964 is America, and so is the Three-Fifths Compromise — which counted each formerly enslaved individual as less than a whole person."" Founder and Head of School of Purpose Preparatory Academy (@purpose_prep) Lagra Newman (@lagra.newman) discusses the need to uplift questions of race and privilege in the classroom now, more than ever. As bills aiming to ban critical race theory from classrooms are dominating national conversations about education, leaders like Lagra are stepping up and causing ""good trouble"" fighting back. Read more in the @tennessean. #linkinbio #goodtrouble #congressmanjohnlewis #criticalracetheory #derrickbell #kimberlecrenshaw #history #teachthetruth #educationisfreedom #knowledgeispower #education #purposeprep",https://www.facebook.com/PurposePreparatoryAcademy/photos/a.3867161079982106/4704762232888649/?type=3,NA,"Tennessean. Why teaching critical race theory in school is an example of 'good trouble' Opinion believe students should have he opportunity to evaluate the scope of American history, ts present- day manifestations and discuss the tough questions inspires. Lagra Newman Guest Columnist Publlished 7:57 a.m. Now 2021 AMTN 202",Photos from Purpose Preparatory Academy's post,NA,NA,NA,NA,-0.58,FALSE,TRUE
Lawrence Public Schools,LawrencePublicSchools,207952675960124,PUBLIC_SCHOOL,US,"In Lawrence USD 497, our focus is your student's success!",2011-12-28T15:33:27Z,8226,9217,2021-11-15 16:37:57 EST,2021-11-15,16:37:57,Photo,12,9,0,3,0,0,0,0,0,0,NA,-,0,0,0,N/A,https://www.facebook.com/207952675960124/posts/4539114369510578,"During this American Education Week, schools are facing so many challenges. How can we support them? Here are a few suggestions: Celebrate students by attending a play, concert, sporting event, or student activity. Mentor a student or share your career path, professional expertise, or cultural traditions with a class. Volunteer with a local organization supporting children and youth at www.unitedwaydgco.org.:=:https://www.unitedwaydgco.org/ Reinforce at home with your children positive behavior expectations, including safety, health and wellness, self-regulation, respect, responsibility, kindness, cooperation, empathy. Participate in a parent organization, booster club, or school advisory committee. Donate classroom supplies, warm clothing, socks and underwear, and hygiene items to schools. Refer a friend or consider substitute teaching, driving a bus, or applying for a job in our schools at mhedteach.com, workatfirst.com, and www.usd497.org/Apply.:=:https://www.usd497.org/errors/404.aspx?aspxerrorpath=/Apply. Stay informed by reading teacher communications and school newsletters, following our official accounts on social media, or watching a school board meeting. Critically evaluate information about schools and seek the facts. (No, we don’t teach Critical Race Theory. Yes, culturally relevant teaching is a best practice.) Advocate for your school - The legislative session starts in January! (See www.usd497.org/Educate:=:https://www.usd497.org/Educate Lawrence.) T.H.I.N.K. before you post or share information about schools: Is it True? Helpful? Inspiring? Necessary? Kind? Send thank-you notes to bus drivers, teachers, paras, secretaries, food service and custodial personnel, nurses, technology staff, librarians, administrators, school board members, and other professionals supporting students. Nominate school staff for recognition at www.usd497.org/Recognition.:=:https://www.usd497.org/errors/404.aspx?aspxerrorpath=/Recognition. Support the Lawrence Schools Foundation at www.lawrenceschoolsfoundation.org.:=:https://lawrenceschoolsfoundation.org/ Contact your child’s school for more ideas!",https://www.facebook.com/LawrencePublicSchools/photos/a.341532765935447/4539113952843953/?type=3,NA,"HAPPY AMERICAN EDUCATION WEEK NOVEMBER 15-19, 2021 一",NA,NA,NA,NA,NA,-2.75,FALSE,TRUE
Cobb County Government,CobbCountyGovernment,100064554019886,GOVERNMENT_ORGANIZATION,US,For all the latest happenings and interesting things involving Cobb County Government.,2009-02-16T12:09:21Z,27454,31677,2021-11-12 15:39:09 EST,2021-11-12,15:39:09,Photo,41,21,3,17,0,0,0,0,0,0,NA,-,0,0,0,N/A,https://www.facebook.com/100064554019886/posts/254614940033638,"Register today for Saturday's recycling event, 9 a.m.-1 p.m., at 2245 Callaway Road, Marietta, if you haven't already. http://ow.ly/pgiJ50GMqtK:=:https://www.cobbcounty.org/keep-cobb-beautiful/news/november-community-recycling-event",https://www.facebook.com/KeepCobbBeautiful/photos/a.181974251914158/4185783251533218/?type=3,NA,"KEEP COBB BEAUTIFUL COMMUNITY RECYCLING EVENT REGISTER FOR THE EVENT HERE KEEP COBB BEAUTIFUL NOVEMBER 13, 2021 9AM- -1PM 2245 CALLAWAY RD MARIETTA GA ELECTRONICS PAPER SHREDDING TEXTILES ITEMS ACCEPTED •HOUSEHOLD GOODS •CLOTHING SHOES BOOKS OLD BILLS BANK STATEMENTS CHECKS SENSITIVE DOCUMNETS .LAWN EQUIPMENT APPLIANCES GRILLS •COMPUTERS •CELL PHONES •FLAT SCREEN TV'S CRT TV/ MONITORS $10 FEE EACH PLEASE REMOVE ALL PAPER CLIPS FROM DOCUMENTS Hefty ENERGYBAG BRING YOUR HEFTY ENERGYBAG MATERIAL CHARD-TO-RECYCLE PLASTICS) TO THE EVENT. BAGS CAN BE PURCHASED ONLINE AT SHOP.HEFTY.COM FOR MORE INFO AND FULL LIST OF ACCEPTED ITEMS PLEASE VISIT KEEPCOBBBEAUTIFUL.ORG",Keep Cobb Beautiful,"Last Community Recycling Event for 2021. Your participation indicates if there is a need to continue these events in Cobb County.  

Link:  http://ow.ly/pgiJ50GMqtK:=:https://www.cobbcounty.org/keep-cobb-beautiful/news/november-community-recycling-event

#mariettaga #mabletonga #kennesawga #powderspringsga #austellga #acworthga #smyrnaga",NA,NA,NA,-2.12,FALSE,FALSE
Creede School District,MinersStrongCO,101437997893558,PUBLIC_SCHOOL,US,"Providing a safe, inclusive & nurturing environment for students to reach their unique potential in & beyond the classroom. We encourage & inspire students to achieve academic excellence, build character, & discover a life-long love of learning.",2019-08-17T21:12:32Z,637,724,2021-11-11 20:26:32 EST,2021-11-11,20:26:32,Photo,1,1,0,0,0,0,0,0,0,0,NA,-,0,0,0,N/A,https://www.facebook.com/101437997893558/posts/629169055120447,NA,https://www.facebook.com/creederepertorytheatre/photos/a.332092092933/10158624696672934/?type=3,NA,"CRT EDUCATION INSTAGRAM TAKEOVER YOUNG AUDIENCE OUTREACH TOUR ACTOR Patty de la Garza ofTeam Pink Follow us! @creederep TOMORROW, NOVEMBER 12TH!",Creede Repertory Theatre,"It's our final Education IG takeover of our 2021 tour, EL GUAYABO/THE GUAVA TREE! Tomorrow's featured YAOT company member is Patty de la Garza, who plays Iris (and everyone else) for Team Pink. Follow the @creederep instagram page to follow Team Pink's adventures in Colorado Springs tomorrow! #teampink #crt56 #creederep",NA,NA,NA,-24,NA,NA
Waterford Elementary School (OCPS),WaterfordElementarySchoolOCPS,142419625795500,ELEMENTARY_SCHOOL,NA,"This is the official Facebook Page for Waterford Elementary School in Orlando, FL.",2010-08-24T00:02:56Z,1027,1065,2021-11-11 14:45:45 EST,2021-11-11,14:45:45,Status,1,1,0,0,0,0,0,0,0,0,NA,-,0,0,0,N/A,https://www.facebook.com/142419625795500/posts/4455012627869490,"Good Afternoon Families and Community Members, Waterford will be participating in Teach-In on Wednesday, November 17 and we are still looking for Volunteers to talk to our students. On behalf of Waterford Elementary School, we invite you to teach and/or present to one or more classes as part of this community-wide effort - Teach-In 2021 - on Wednesday, November 17. It’s simple to participate, and you can volunteer the time that your schedule permits. Please contact Jennifer Ebert-Jones if you are interested in coming for a lesson (about 30-45 minutes). You can talk about your job, read a book, teach practical skills, share a key experience from your education or career, do an arts and craft project, etc. Any time that volunteers give enhances our children's education. If you are interested in participating in Teach-In, please do the following: • Register as an Addition Volunteer - online at ocps.samaritan.com, then >Search Opportunities >Volunteers > Enter the name of the school of your choice and sign-up for the “Teach-In” volunteer opportunity. Please note, you must be an approved OCPS ADDitions volunteer to participate in Teach-In. --> Sign up as an ADDitions Volunteer by using this link: https://ocps.samaritan.com/custom/503/volunteer_home • Once you are an approved ADDitions Volunteer, you will need to search Waterford for the Teach-In Opportunity and attach to it. Teach-In is truly a special experience for our volunteers and for our students. We cannot wait to hear from you! If you have any additional questions regarding Teach-In, please contact your child’s teacher or: Jennifer Ebert-Jones CRT / Testing Coordinator Email: 29011@ocps.net Phone: (407) 249.6410 ext. 4042298",NA,NA,NA,NA,NA,NA,NA,NA,-0.75,TRUE,FALSE
Ocean City Schools,oceancityschools,265858010167239,PUBLIC_SCHOOL,US,"The Official Ocean City, New Jersey School District Facebook Page",2012-03-29T19:29:17Z,1961,2092,2021-11-09 15:39:27 EST,2021-11-09,15:39:27,Link,1,1,0,0,0,0,0,0,0,0,NA,-,0,0,0,N/A,https://www.facebook.com/265858010167239/posts/4644017275684602,Reminder 7pm at OC Free Public Library - all are welcome!,https://www.facebook.com/events/412546787176438/,NA,NA,Ocean City School District Community Forum,"On Tuesday, November 9, 2021 the Ocean City School District will be holding an open public
forum to address various aspects of our program including curriculum offerings, current
mandates and policies and procedures that impact day-to-day operations.
These are challenging times, as we deal with an ongoing pandemic, legislative updates and the
latest Executive Orders that impact our schools. Questions surrounding topics such as Critical
Race Theory, Gender Identity, and issues relating to social and sexual health have been making
the news and will be presented for discussion.
We will also discuss current initiatives surrounding school operations and student behavior
including vaping, general student conduct and attendance/tardiness.
In an effort to ensure that we have the available space and in response to requests for a more convenient time, the Open Public Forum to address various aspects of our school program will now be held at the Ocean City Free Public Library Lecture Hall at 1735 Simpson Avenue.

The start time for the forum has been changed from 6:00 p.m. to 7:00 p.m. and, because the forum is being held off of the school property, masks will be optional.

We look forward to your attendance as we seek to address important issues facing our schools. Please be reminded that if you have any specific questions you would like us to address you can share them HERE

 

If you have any questions regarding these changes, please reach out the Superintendent’s office.
.",NA,NA,NA,-20,FALSE,FALSE
Santiago Sharks,NA,332422146844848,PUBLIC_SCHOOL,US,"Official page of Santiago High School Sharks! ""Like"" us to know our future events!",2012-07-20T18:55:15Z,3195,3585,2021-11-09 13:55:43 EST,2021-11-09,13:55:43,Photo,2,2,0,0,0,0,0,0,0,0,NA,-,0,0,0,N/A,https://www.facebook.com/332422146844848/posts/4489872104433144,Just a reminder that our E-Waste collection fundraiser is this Saturday 9am-3pm located in the drop-off lanes in front of campus.,https://www.facebook.com/332422146844848/photos/a.1028392813914441/4426004567486565/?type=3,NA,"Organized by Santiago High School TV, Computer Recycling & Paper Shredding Collection Event November 13th Saturday 9AM 3PM Santiago High School (Parking Lot) 1395 E Foothill Pkwy Corona, CA 92881 We ONLY accept the following Computers- Laptops Televisions CRT, LCD & Plasma No other items will be accepted unless it's listed above! Paper Collection for Shredding (not on-site): $5.00 bankers box (10""x12""x15) secureewastedestruction.com info@secureewastedestruction.com (626) 600-2705",Santiago Sharks,Please mark your calendars for our E-Waste Fundraiser 💻 📺 📑,NA,NA,NA,-21.5,FALSE,FALSE
