post_id,comment_text
https://facebook.com/245937932251091/posts/2129192957258903/posts/2129192957258903,"They are very approachable and friendly. They always answer my questions with respect and honesty. If you want to know,, just ask instead of assuming and being upset at what you don't know"
https://facebook.com/245937932251091/posts/2129192957258903/posts/2129192957258903,Hmmm....
https://facebook.com/245937932251091/posts/2129192957258903/posts/2129192957258903,Thank you!!!
https://facebook.com/177939366689/posts/10159368295096690/posts/10159368295096690,Wonderful! We have a widely diverse student body. It’s time we recognize that.
https://facebook.com/177939366689/posts/10159368295096690/posts/10159368295096690,Glad to see the R.O.P.E. folks were too scared to show their faces.
https://facebook.com/177939366689/posts/10159368295096690/posts/10159368295096690,Ridiculous waste of taxpayers money. If you spent any time on these campuses you’d realize how ridiculous this is.
https://facebook.com/177939366689/posts/10159368295096690/posts/10159368295096690,The theory equity is a bad thing. There needs to be equality which is what they have.
https://facebook.com/177939366689/posts/10159368295096690/posts/10159368295096690,So .... prior to today Union didn't welcome any of those ideals ? Good to know.
https://facebook.com/554909947987311/posts/2591667840978168/posts/2591667840978168,"Thank you for that update, Mr. Estep."
https://facebook.com/554909947987311/posts/2591667840978168/posts/2591667840978168,"Concise, clear and factual. I appreciate that and wish you the best."
https://facebook.com/554909947987311/posts/2591667840978168/posts/2591667840978168,Thank you for the clarification
https://facebook.com/554909947987311/posts/2591667840978168/posts/2591667840978168,"Excellent communication. Thank you, and welcome!"
https://facebook.com/554909947987311/posts/2591667840978168/posts/2591667840978168,"Thank you for lending your expertise to our district in a challenging time. I appreciate you trying to speak truth to the largely unfounded CTR concerns you referenced. Certainly there is room for growth, but its been embarrassing to see parents slander educators and board members. Thanks for this letter and for the triage work you are doing!"
https://facebook.com/554909947987311/posts/2591667840978168/posts/2591667840978168,"Great note. Good accomplishments
in the short term in office. Hoping you are able to make change happen and stick. Much needed leadership!"
https://facebook.com/554909947987311/posts/2591667840978168/posts/2591667840978168,"I love being called a “susceptible individual” for me and my kids experiencing the effects of JEDI/CRT/
Social Justice being implemented at South Middleton. Thanks for helping to “unite” our town with this thoughtful letter. 🤯🤣"
