comment_text,url,post_created_date,page_name,type,total_interactions,likes,comments,shares,love,wow,haha,sad,angry,care,message,nces_id,post_id,overperforming,followers_at_posting,state_combined,n_students_combined
Hmmm....,https://www.facebook.com/245937932251091/posts/2129192957258903/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"They are very approachable and friendly. They always answer my questions with respect and honesty. If you want to know,, just ask instead of assuming and being upset at what you don't know",https://www.facebook.com/245937932251091/posts/2129192957258903/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thank you!!!,https://www.facebook.com/245937932251091/posts/2129192957258903/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wonderful! We have a widely diverse student body. It’s time we recognize that.,https://www.facebook.com/177939366689/posts/10159368295096690/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ridiculous waste of taxpayers money. If you spent any time on these campuses you’d realize how ridiculous this is.,https://www.facebook.com/177939366689/posts/10159368295096690/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glad to see the R.O.P.E. folks were too scared to show their faces.,https://www.facebook.com/177939366689/posts/10159368295096690/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The theory equity is a bad thing. There needs to be equality which is what they have.,https://www.facebook.com/177939366689/posts/10159368295096690/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
So .... prior to today Union didn't welcome any of those ideals ? Good to know.,https://www.facebook.com/177939366689/posts/10159368295096690/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thank you for that update, Mr. Estep.",https://www.facebook.com/554909947987311/posts/2591667840978168/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Concise, clear and factual. I appreciate that and wish you the best.",https://www.facebook.com/554909947987311/posts/2591667840978168/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
